epoch,loss,kl_loss,entropy,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,2.337369680404663,2.337369680404663,3.211660861968994,,,,,,,,,,,,,,
2,2.2820489406585693,2.2820489406585693,3.2113282680511475,,,,,,,,,,,,,,
3,2.227083206176758,2.227083206176758,3.2099902629852295,,,,,,,,,,,,,,
4,2.1723005771636963,2.1723005771636963,3.2075514793395996,,,,,,,,,,,,,,
5,2.1149096488952637,2.1149096488952637,3.2033989429473877,,,,,,,,,,,,,,
6,2.0550854206085205,2.0550854206085205,3.197859525680542,,,,,,,,,,,,,,
7,1.9933836460113525,1.9933836460113525,3.1901323795318604,,,,,,,,,,,,,,
8,1.9235570430755615,1.9235570430755615,3.17830228805542,,,,,,,,,,,,,,
9,1.8540369272232056,1.8540369272232056,3.1634509563446045,,,,,,,,,,,,,,
10,1.7774540185928345,1.7774540185928345,3.1427621841430664,0.7808952331542969,0.7808952331542969,0.21910476684570312,8.261981010437012,0.46524104802838173,0.6531327962875366,5.960097312927246,-0.0,3.9605634212493896,0.7762848138809204,0.7755217165684497,0.7762848138809204,3.1181387901306152,1.88495934009552
11,1.7001514434814453,1.7001514434814453,3.116070032119751,,,,,,,,,,,,,,
12,1.6160458326339722,1.6160458326339722,3.079498767852783,,,,,,,,,,,,,,
13,1.5309436321258545,1.5309436321258545,3.034379482269287,,,,,,,,,,,,,,
14,1.441911220550537,1.441911220550537,2.977982997894287,,,,,,,,,,,,,,
15,1.3578691482543945,1.3578691482543945,2.909701347351074,,,,,,,,,,,,,,
16,1.2702287435531616,1.2702287435531616,2.825202465057373,,,,,,,,,,,,,,
17,1.1908546686172485,1.1908546686172485,2.735374689102173,,,,,,,,,,,,,,
18,1.111398696899414,1.111398696899414,2.626047134399414,,,,,,,,,,,,,,
19,1.0436789989471436,1.0436789989471436,2.518214225769043,,,,,,,,,,,,,,
20,0.9817980527877808,0.9817980527877808,2.4062492847442627,0.7826023697853088,0.7826023697853088,0.21739763021469116,8.55868148803711,0.5569530448068668,0.6401114463806152,6.141047477722168,-0.0,4.205714702606201,0.7781014442443848,0.5323592054092888,0.7781014442443848,2.1426212787628174,0.8425721526145935
21,0.9236732721328735,0.9236732721328735,2.2877187728881836,,,,,,,,,,,,,,
22,0.8798184990882874,0.8798184990882874,2.184654712677002,,,,,,,,,,,,,,
23,0.8357365727424622,0.8357365727424622,2.084948778152466,,,,,,,,,,,,,,
24,0.7941324710845947,0.7941324710845947,1.9887268543243408,,,,,,,,,,,,,,
25,0.7661703824996948,0.7661703824996948,1.9153550863265991,,,,,,,,,,,,,,
26,0.7385460734367371,0.7385460734367371,1.846335768699646,,,,,,,,,,,,,,
27,0.7136843204498291,0.7136843204498291,1.7896662950515747,,,,,,,,,,,,,,
28,0.693498969078064,0.693498969078064,1.7473511695861816,,,,,,,,,,,,,,
29,0.6700454354286194,0.6700454354286194,1.70541512966156,,,,,,,,,,,,,,
30,0.655428946018219,0.655428946018219,1.6787471771240234,0.7758728265762329,0.7758728265762329,0.2241271734237671,9.237174987792969,0.32611296030923365,0.7163655757904053,5.394710063934326,-0.0,2.5536048412323,0.7778750061988831,0.3524948866170124,0.7778750061988831,1.3594121932983398,0.4702923595905304
31,0.6370324492454529,0.6370324492454529,1.6531983613967896,,,,,,,,,,,,,,
32,0.6189020276069641,0.6189020276069641,1.6360878944396973,,,,,,,,,,,,,,
33,0.604001522064209,0.604001522064209,1.6145907640457153,,,,,,,,,,,,,,
34,0.5896283388137817,0.5896283388137817,1.601391315460205,,,,,,,,,,,,,,
35,0.5790899395942688,0.5790899395942688,1.5813275575637817,,,,,,,,,,,,,,
36,0.558545708656311,0.558545708656311,1.5601301193237305,,,,,,,,,,,,,,
