feature_index,safe_state_mean,unsafe_state_mean,difference_unsafe_minus_safe,absolute_difference
0,-0.05466538295149803,0.06138591095805168,0.11605129390954971,0.11605129390954971
1,0.280645489692688,-0.33310481905937195,-0.6137503087520599,0.6137503087520599
2,-0.0004188409075140953,-0.011589763686060905,-0.01117092277854681,0.01117092277854681
3,-0.1073044091463089,0.14266912639141083,0.24997353553771973,0.24997353553771973
4,-0.05554206296801567,0.06515788286924362,0.12069994583725929,0.12069994583725929
5,-0.0019989237189292908,0.002686004852876067,0.004684928571805358,0.004684928571805358
6,-0.038779452443122864,0.04518686234951019,0.08396631479263306,0.08396631479263306
7,-0.0011210194788873196,0.001876532332971692,0.0029975518118590117,0.0029975518118590117
8,-0.03165113180875778,0.03707181662321091,0.06872294843196869,0.06872294843196869
9,-0.014325717464089394,0.016773555427789688,0.03109927289187908,0.03109927289187908
10,-0.01280068140476942,0.0151041429489851,0.02790482435375452,0.02790482435375452
11,-0.10873264074325562,0.12851229310035706,0.23724493384361267,0.23724493384361267
12,0.15303243696689606,-0.18058323860168457,-0.3336156755685806,0.3336156755685806
13,-0.014039686881005764,0.017009923234581947,0.03104961011558771,0.03104961011558771
14,-0.16572855412960052,0.1960539072751999,0.3617824614048004,0.3617824614048004
15,-0.022791022434830666,0.026410341262817383,0.04920136369764805,0.04920136369764805
16,0.1519632488489151,-0.17951127886772156,-0.33147452771663666,0.33147452771663666
17,-0.06816469877958298,0.08093954622745514,0.14910424500703812,0.14910424500703812
18,-0.12231951206922531,0.14443795382976532,0.26675746589899063,0.26675746589899063
19,-0.221454918384552,0.2609977126121521,0.4824526309967041,0.4824526309967041
20,-0.08985825628042221,0.10576577484607697,0.19562403112649918,0.19562403112649918
21,0.011021507903933525,-0.012415310367941856,-0.02343681827187538,0.02343681827187538
22,-0.10768266022205353,0.12689504027366638,0.2345777004957199,0.2345777004957199
23,-0.04635610803961754,0.055303871631622314,0.10165997967123985,0.10165997967123985
24,-0.07031340152025223,0.08346031606197357,0.1537737175822258,0.1537737175822258
25,0.09525614976882935,-0.1132015809416771,-0.20845773071050644,0.20845773071050644
26,-0.019177164882421494,0.02282428741455078,0.042001452296972275,0.042001452296972275
27,-0.08219762146472931,0.09712874889373779,0.1793263703584671,0.1793263703584671
28,0.006398405879735947,-0.008130012080073357,-0.014528417959809303,0.014528417959809303
29,-0.10472164303064346,0.1228385791182518,0.22756022214889526,0.22756022214889526
30,-0.11909932643175125,0.14096994698047638,0.26006927341222763,0.26006927341222763
31,-0.08128843456506729,0.09673717617988586,0.17802561074495316,0.17802561074495316
32,-0.04500354453921318,0.05373154208064079,0.09873508661985397,0.09873508661985397
33,0.013009374961256981,-0.014761869795620441,-0.027771244756877422,0.027771244756877422
34,-0.032986413687467575,0.038957227021455765,0.07194364070892334,0.07194364070892334
35,0.15174365043640137,-0.17862161993980408,-0.33036527037620544,0.33036527037620544
36,0.1379413604736328,-0.16286538541316986,-0.3008067458868027,0.3008067458868027
37,-0.1504671722650528,0.17813268303871155,0.32859985530376434,0.32859985530376434
38,-0.13061460852622986,0.1547475904226303,0.28536219894886017,0.28536219894886017
39,-0.03081241436302662,0.036882977932691574,0.06769539229571819,0.06769539229571819
40,-0.029496729373931885,0.03524085879325867,0.06473758816719055,0.06473758816719055
41,0.0257968008518219,-0.029827697202563286,-0.055624498054385185,0.055624498054385185
42,-0.0752236396074295,0.08940988779067993,0.16463352739810944,0.16463352739810944
43,0.3734017014503479,-0.4401709735393524,-0.8135726749897003,0.8135726749897003
44,0.649880588054657,-0.7652969360351562,-1.4151775240898132,1.4151775240898132
45,0.26541438698768616,-0.31312066316604614,-0.5785350501537323,0.5785350501537323
46,0.36820247769355774,-0.43418270349502563,-0.8023851811885834,0.8023851811885834
