epoch,loss,td_loss,cql_loss,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert
1,1.7027579545974731,0.09472879022359848,3.2160582542419434,,,,,,,,,
2,1.672611117362976,0.08426869660615921,3.176684856414795,,,,,,,,,
3,1.644962191581726,0.07614545524120331,3.1376335620880127,,,,,,,,,
4,1.619900107383728,0.07013431191444397,3.099531650543213,,,,,,,,,
5,1.59553062915802,0.06555991619825363,3.059941530227661,,,,,,,,,
6,1.5720441341400146,0.062274280935525894,3.0195395946502686,,,,,,,,,
7,1.5503225326538086,0.06044916436076164,2.9797468185424805,,,,,,,,,
8,1.5269767045974731,0.05996498838067055,2.934023380279541,,,,,,,,,
9,1.506388783454895,0.060920532792806625,2.8909366130828857,,,,,,,,,
10,1.4860032796859741,0.06390812247991562,2.8441903591156006,0.7829315662384033,0.7829315662384033,0.21706843376159668,8.15768814086914,0.44746147279691406,0.65140300989151,5.9437456130981445,-0.0,3.9720051288604736
11,1.4678138494491577,0.06906919181346893,2.7974894046783447,,,,,,,,,
12,1.4499268531799316,0.0772794857621193,2.7452948093414307,,,,,,,,,
13,1.4353092908859253,0.08803465962409973,2.694549322128296,,,,,,,,,
14,1.421181082725525,0.10087821632623672,2.6406056880950928,,,,,,,,,
15,1.4101529121398926,0.11551836133003235,2.5892691612243652,,,,,,,,,
16,1.4005365371704102,0.13293558359146118,2.5352017879486084,,,,,,,,,
17,1.3931907415390015,0.14890824258327484,2.488564968109131,,,,,,,,,
18,1.3860453367233276,0.1663004606962204,2.4394898414611816,,,,,,,,,
19,1.380238652229309,0.17932726442813873,2.401822805404663,,,,,,,,,
20,1.373976230621338,0.1896178275346756,2.3687167167663574,0.7775550484657288,0.7775550484657288,0.22244495153427124,9.112653732299805,0.6467386720054085,0.645444929599762,6.223240852355957,-0.0,4.284144878387451
21,1.3687405586242676,0.199459508061409,2.33856201171875,,,,,,,,,
22,1.3628990650177002,0.20255953073501587,2.320678949356079,,,,,,,,,
23,1.356017827987671,0.20296403765678406,2.306107521057129,,,,,,,,,
24,1.347123622894287,0.20345602929592133,2.287335157394409,,,,,,,,,
25,1.341293215751648,0.19809453189373016,2.2863974571228027,,,,,,,,,
26,1.333864450454712,0.19420289993286133,2.279323101043701,,,,,,,,,
27,1.3258919715881348,0.18643689155578613,2.2789101600646973,,,,,,,,,
28,1.3188408613204956,0.18095453083515167,2.2757725715637207,,,,,,,,,
29,1.311750888824463,0.17680303752422333,2.2698957920074463,,,,,,,,,
30,1.3072166442871094,0.1729411482810974,2.2685511112213135,0.7791084051132202,0.7791084051132202,0.22089159488677979,9.562800407409668,0.3422643560998284,0.6864309310913086,5.48012638092041,-0.0,2.6070332527160645
31,1.300229787826538,0.16951698064804077,2.261425733566284,,,,,,,,,
32,1.2937116622924805,0.166720911860466,2.253981590270996,,,,,,,,,
33,1.2871001958847046,0.16572152078151703,2.2427573204040527,,,,,,,,,
34,1.2833771705627441,0.1649593859910965,2.236835479736328,,,,,,,,,
35,1.2807971239089966,0.1686728298664093,2.2242486476898193,,,,,,,,,
36,1.2730436325073242,0.1731988787651062,2.1996896266937256,,,,,,,,,
37,1.2681759595870972,0.17667196691036224,2.1830079555511475,,,,,,,,,
38,1.2653353214263916,0.18315821886062622,2.1643543243408203,,,,,,,,,
39,1.258567452430725,0.19097113609313965,2.135192632675171,,,,,,,,,
40,1.2571038007736206,0.19699053466320038,2.1202266216278076,0.7790009379386902,0.7790009379386902,0.22099906206130981,9.274396896362305,0.12768772410233103,0.8003075122833252,4.737220287322998,-0.0,1.9632657766342163
41,1.2528200149536133,0.20518264174461365,2.0952746868133545,,,,,,,,,
42,1.2484004497528076,0.21000148355960846,2.0767979621887207,,,,,,,,,
43,1.2459686994552612,0.21660396456718445,2.058729410171509,,,,,,,,,
44,1.2417227029800415,0.219419926404953,2.0446054935455322,,,,,,,,,
45,1.2378054857254028,0.22258301079273224,2.030444860458374,,,,,,,,,
46,1.2345218658447266,0.22609099745750427,2.0168616771698,,,,,,,,,
47,1.228606939315796,0.22723007202148438,2.002753734588623,,,,,,,,,
48,1.227545976638794,0.22890320420265198,1.9972856044769287,,,,,,,,,
49,1.2241803407669067,0.22813166677951813,1.99209725856781,,,,,,,,,
50,1.2209620475769043,0.22906215488910675,1.983799695968628,0.7758098840713501,0.7758098840713501,0.2241901159286499,9.284058570861816,0.06355415580684252,0.831587553024292,4.408005714416504,-0.0,1.5214183330535889
51,1.217236042022705,0.22834573686122894,1.9777805805206299,,,,,,,,,
52,1.2166335582733154,0.2293662428855896,1.9745346307754517,,,,,,,,,
53,1.2144453525543213,0.2260866016149521,1.976717472076416,,,,,,,,,
54,1.2109938859939575,0.23032309114933014,1.9613416194915771,,,,,,,,,
55,1.2103463411331177,0.2321772426366806,1.9563381671905518,,,,,,,,,
56,1.2077783346176147,0.23331104218959808,1.9489346742630005,,,,,,,,,
57,1.204097867012024,0.23386713862419128,1.9404613971710205,,,,,,,,,
58,1.2035486698150635,0.23420441150665283,1.9386886358261108,,,,,,,,,
59,1.2033278942108154,0.23534515500068665,1.9359655380249023,,,,,,,,,
60,1.2008219957351685,0.23923766613006592,1.923168659210205,0.7806707620620728,0.7806707620620728,0.21932923793792725,8.884830474853516,0.019008615970512278,0.8548914194107056,4.220571041107178,-0.0,1.63124680519104
61,1.1986068487167358,0.24409906566143036,1.9090156555175781,,,,,,,,,
62,1.1963622570037842,0.24754489958286285,1.897634744644165,,,,,,,,,
63,1.1960556507110596,0.24798370897769928,1.8961437940597534,,,,,,,,,
64,1.1961873769760132,0.2500542104244232,1.8922662734985352,,,,,,,,,
65,1.1958887577056885,0.25240394473075867,1.8869696855545044,,,,,,,,,
66,1.1923329830169678,0.25472334027290344,1.8752192258834839,,,,,,,,,
67,1.1926610469818115,0.2550567090511322,1.8752087354660034,,,,,,,,,
68,1.1908972263336182,0.2544636130332947,1.8728671073913574,,,,,,,,,
69,1.1918261051177979,0.254557728767395,1.8745367527008057,,,,,,,,,
70,1.1903176307678223,0.252862811088562,1.87490975856781,0.7775030732154846,0.7775030732154846,0.22249692678451538,8.949944496154785,0.009497135835871952,0.8625792860984802,4.16532564163208,-0.0,1.6088871955871582
71,1.1901559829711914,0.254334032535553,1.8716440200805664,,,,,,,,,
72,1.187302589416504,0.2536577582359314,1.8672895431518555,,,,,,,,,
73,1.1884607076644897,0.25390028953552246,1.8691208362579346,,,,,,,,,
74,1.1866908073425293,0.255121111869812,1.8631393909454346,,,,,,,,,
75,1.1872252225875854,0.2566300332546234,1.8611903190612793,,,,,,,,,
76,1.186091661453247,0.2578701674938202,1.8564430475234985,,,,,,,,,
77,1.1869533061981201,0.25955963134765625,1.8547874689102173,,,,,,,,,
78,1.187024712562561,0.26118844747543335,1.8516725301742554,,,,,,,,,
79,1.1852648258209229,0.26020920276641846,1.8501112461090088,,,,,,,,,
