epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,cost_budget,lagrange,expert_kl,smoothness,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert,trajectory_mean_action_jump,trajectory_normalised_action_jump
1,0.9806026816368103,0.059320781379938126,0.023188788443803787,0.015538363717496395,0.0023582777939736843,0.9398118853569031,0.9392226934432983,0.0,0.018538817763328552,0.0,0.0,0.0,0.12666840851306915,,,,,,,,,,,,,,,,
2,0.9637421369552612,0.03637775033712387,0.014206664636731148,0.010684355162084103,0.0014406631235033274,0.93677818775177,0.9380428194999695,0.0,0.013142670504748821,0.0,0.0,0.0,0.12660524249076843,,,,,,,,,,,,,,,,
3,0.9547178745269775,0.017959723249077797,0.009149383753538132,0.008424228988587856,0.0011172572849318385,0.9347789883613586,0.9372749924659729,0.0,0.009287186898291111,0.0,0.0,0.0,0.12663063406944275,,,,,,,,,,,,,,,,
4,0.9520106911659241,0.0014679725281894207,0.007862912490963936,0.0075724171474576,0.0009573082206770778,0.9347556233406067,0.9364805221557617,0.0,0.0071142688393592834,0.0,0.0,0.0,0.12675954401493073,,,,,,,,,,,,,,,,
5,0.9504650235176086,-0.00936899520456791,0.007675815839320421,0.007134214509278536,0.0009054740658029914,0.934360921382904,0.9351381659507751,0.0,0.00651922170072794,0.0,0.0,0.0,0.12695443630218506,,,,,,,,,,,,,,,,
6,0.9497601389884949,-0.019403396174311638,0.007882975041866302,0.007027102634310722,0.0008467136649414897,0.9337708353996277,0.9342358708381653,0.0,0.00609838031232357,0.0,0.0,0.0,0.12691819667816162,,,,,,,,,,,,,,,,
7,0.9485474228858948,-0.024648411199450493,0.00770395016297698,0.006695989985018969,0.0008385179098695517,0.9332297444343567,0.9333881735801697,0.0,0.005495311226695776,0.0,0.0,0.0,0.1271333545446396,,,,,,,,,,,,,,,,
8,0.9469543695449829,-0.02919495292007923,0.007324869278818369,0.006327712908387184,0.0008083275752142072,0.9325793385505676,0.9324076175689697,0.0,0.005648054648190737,0.0,0.0,0.0,0.1272161304950714,,,,,,,,,,,,,,,,
9,0.9453451037406921,-0.030719518661499023,0.006749995052814484,0.00627653393894434,0.000779283232986927,0.9314815402030945,0.931597113609314,0.0,0.005719123408198357,0.0,0.0,0.0,0.12738536298274994,,,,,,,,,,,,,,,,
10,0.9439367055892944,-0.028715059161186218,0.006091848015785217,0.005937435198575258,0.0007459567859768867,0.931126594543457,0.9311963319778442,0.0,0.0056901960633695126,0.0,0.0,0.0,0.12750981748104095,,,,,,,,,,,,,,,,
11,0.9427751302719116,-0.027883267030119896,0.005803419277071953,0.005592583678662777,0.0007267185137607157,0.9306203722953796,0.9306843876838684,0.0,0.006020508706569672,0.0,0.0,0.0,0.12770850956439972,,,,,,,,,,,,,,,,
12,0.9416838884353638,-0.026468653231859207,0.005450761411339045,0.005383830051869154,0.0006992392591200769,0.9299194812774658,0.9303805232048035,0.0,0.0064603183418512344,0.0,0.0,0.0,0.12764155864715576,,,,,,,,,,,,,,,,
13,0.9407252669334412,-0.024337952956557274,0.004980865865945816,0.00506275799125433,0.0006872041849419475,0.9297563433647156,0.9302325248718262,0.0,0.006756453309208155,0.0,0.0,0.0,0.12791970372200012,,,,,,,,,,,,,,,,
14,0.9404135942459106,-0.019940031692385674,0.005020776763558388,0.00482539925724268,0.000642809784039855,0.9296873211860657,0.9301618337631226,0.0,0.006828076206147671,0.0,0.0,0.0,0.12808968126773834,,,,,,,,,,,,,,,,
15,0.9397624731063843,-0.019359484314918518,0.004975612740963697,0.004671785514801741,0.0006155851297080517,0.929295003414154,0.9297040104866028,0.0,0.007406115997582674,0.0,0.0,0.0,0.12832877039909363,,,,,,,,,,,,,,,,
16,0.9398360848426819,-0.01773766800761223,0.005068812053650618,0.0045797452330589294,0.0006261395756155252,0.9291281700134277,0.929994523525238,0.0,0.007879765704274178,0.0,0.0,0.0,0.128592848777771,,,,,,,,,,,,,,,,
17,0.939102828502655,-0.018181437626481056,0.004962924402207136,0.00433325907215476,0.0005867785075679421,0.9288246035575867,0.9296150207519531,0.0,0.007859894074499607,0.0,0.0,0.0,0.1289261132478714,,,,,,,,,,,,,,,,
18,0.9390572309494019,-0.01871361769735813,0.004956113640218973,0.004556024447083473,0.0006000419962219894,0.9286263585090637,0.9292638301849365,0.0,0.008145034313201904,0.0,0.0,0.0,0.1292295753955841,,,,,,,,,,,,,,,,
19,0.9386143088340759,-0.02188122272491455,0.004913582466542721,0.004297949373722076,0.0005542516009882092,0.9284788966178894,0.9292181134223938,0.0,0.008003962226212025,0.0,0.0,0.0,0.12962722778320312,,,,,,,,,,,,,,,,
20,0.9383772015571594,-0.024103229865431786,0.004829785320907831,0.004189824219793081,0.0005731262499466538,0.9283133149147034,0.9292557239532471,0.0,0.007852945476770401,0.0,0.0,0.0,0.1300015151500702,,,,,,,,,,,,,,,,
21,0.9378295540809631,-0.028060374781489372,0.004596896935254335,0.0042053526267409325,0.0005382682429626584,0.9280598163604736,0.9289182424545288,0.0,0.008041279390454292,0.0,0.0,0.0,0.1307375282049179,,,,,,,,,,,,,,,,
