epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,cost_budget,lagrange,expert_kl,smoothness,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert,trajectory_mean_action_jump,trajectory_normalised_action_jump
1,0.040026407688856125,0.04544253647327423,0.019120002165436745,0.017125867307186127,0.0037805414758622646,0.0,0.0,0.0,0.023740317672491074,0.0,0.0,0.06210169196128845,0.13010579347610474,,,,,,,,,,,,,,,,
2,0.026359865441918373,0.02693280205130577,0.012664242647588253,0.011314035393297672,0.002381586702540517,0.0,0.0,0.0,0.017291637137532234,0.0,0.0,0.06189964711666107,0.12884162366390228,,,,,,,,,,,,,,,,
3,0.019520090892910957,0.012647401541471481,0.009650928899645805,0.008247901685535908,0.0016212589107453823,0.0,0.0,0.0,0.013302174396812916,0.0,0.0,0.06223470717668533,0.1278407722711563,,,,,,,,,,,,,,,,
4,0.01620272360742092,0.002985700499266386,0.008154742419719696,0.006780047435313463,0.0012679335195571184,0.0,0.0,0.0,0.010812097229063511,0.0,0.0,0.06278375536203384,0.12696032226085663,,,,,,,,,,,,,,,,
5,0.014928111806511879,-0.00513452710583806,0.007572985719889402,0.006226370111107826,0.0011287559755146503,0.0,0.0,0.0,0.0077760471031069756,0.0,0.0,0.06291979551315308,0.12656953930854797,,,,,,,,,,,,,,,,
6,0.014209992252290249,-0.009745308198034763,0.007237087469547987,0.005877316929399967,0.0010955882025882602,0.0,0.0,0.0,0.0062810699455440044,0.0,0.0,0.06253060698509216,0.12612073123455048,,,,,,,,,,,,,,,,
7,0.013460378162562847,-0.01489104051142931,0.006852359976619482,0.005563747603446245,0.0010442709317430854,0.0,0.0,0.0,0.005682668182998896,0.0,0.0,0.06288804113864899,0.12603910267353058,,,,,,,,,,,,,,,,
8,0.012327777221798897,-0.0159784946590662,0.006158036179840565,0.005113860126584768,0.0010558810317888856,0.0,0.0,0.0,0.005230910610407591,0.0,0.0,0.06266782432794571,0.12618792057037354,,,,,,,,,,,,,,,,
9,0.01126315537840128,-0.01761614717543125,0.005489963106811047,0.004737002309411764,0.0010361900785937905,0.0,0.0,0.0,0.005370308179408312,0.0,0.0,0.06274852901697159,0.12630687654018402,,,,,,,,,,,,,,,,
10,0.010186939500272274,-0.017336226999759674,0.004885952454060316,0.004304712638258934,0.0009962740587070584,0.0,0.0,0.0,0.0055541410110890865,0.0,0.0,0.06253170222043991,0.12666629254817963,,,,,,,,,,,,,,,,
11,0.00924132950603962,-0.017553597688674927,0.004359330050647259,0.003920756746083498,0.0009612423600628972,0.0,0.0,0.0,0.005931046791374683,0.0,0.0,0.06314206123352051,0.12687921524047852,,,,,,,,,,,,,,,,
12,0.008702331222593784,-0.01651080511510372,0.004175384994596243,0.0035833800211548805,0.0009435659158043563,0.0,0.0,0.0,0.006434544455260038,0.0,0.0,0.06391505151987076,0.12723347544670105,,,,,,,,,,,,,,,,
13,0.007893514819443226,-0.017194336280226707,0.003591901157051325,0.003389541758224368,0.0009120723698288202,0.0,0.0,0.0,0.007376431487500668,0.0,0.0,0.06447908282279968,0.1275797188282013,,,,,,,,,,,,,,,,
14,0.0077037448063492775,-0.01640191860496998,0.0035059384535998106,0.003333491273224354,0.0008643150795251131,0.0,0.0,0.0,0.00788965169340372,0.0,0.0,0.06558648496866226,0.12796610593795776,,,,,,,,,,,,,,,,
15,0.007394119631499052,-0.01870829425752163,0.0033843975979834795,0.0031532084103673697,0.0008565137977711856,0.0,0.0,0.0,0.0080639086663723,0.0,0.0,0.06660696119070053,0.12829096615314484,,,,,,,,,,,,,,,,
16,0.006905799265950918,-0.01873203180730343,0.0031857751309871674,0.002921760082244873,0.0007982641109265387,0.0,0.0,0.0,0.009097994305193424,0.0,0.0,0.06867187470197678,0.1286797970533371,,,,,,,,,,,,,,,,
17,0.006597468629479408,-0.02202860824763775,0.0030828954186290503,0.0027493515517562628,0.0007652216008864343,0.0,0.0,0.0,0.008960873819887638,0.0,0.0,0.07018864899873734,0.1289432942867279,,,,,,,,,,,,,,,,
18,0.006592408288270235,-0.023315444588661194,0.0030909921042621136,0.00274818972684443,0.000753226107917726,0.0,0.0,0.0,0.00922441016882658,0.0,0.0,0.07312507182359695,0.1293603479862213,,,,,,,,,,,,,,,,
