epoch,critic_loss,actor_loss,q1_loss,q2_loss,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,0.04762868210673332,0.008707217872142792,0.025249822065234184,0.022378860041499138,,,,,,,,,,,,,,
2,0.03669002652168274,-0.0020589008927345276,0.019205564633011818,0.01748446375131607,,,,,,,,,,,,,,
3,0.030901990830898285,-0.008126630447804928,0.015987729653716087,0.014914260245859623,,,,,,,,,,,,,,
4,0.02666843682527542,-0.01204662211239338,0.013486072421073914,0.013182365335524082,,,,,,,,,,,,,,
5,0.024199839681386948,-0.01361110620200634,0.01208385918289423,0.012115981429815292,,,,,,,,,,,,,,
6,0.022513125091791153,-0.01568002812564373,0.011461830697953701,0.011051295325160027,,,,,,,,,,,,,,
7,0.021545346826314926,-0.01858258619904518,0.010822365060448647,0.010722982697188854,,,,,,,,,,,,,,
8,0.020553015172481537,-0.022197389975190163,0.010384483262896538,0.010168530978262424,,,,,,,,,,,,,,
9,0.01973390392959118,-0.02462749555706978,0.010005468502640724,0.009728435426950455,,,,,,,,,,,,,,
10,0.018992261961102486,-0.029072539880871773,0.009591725654900074,0.009400536306202412,0.008976718410849571,0.008976718410849571,0.9910232815891504,49.04364013671875,0.8825005662507109,0.0,18.13550567626953,-0.0,8.303667068481445,0.22331339120864868,0.7562679268259992,0.22331339120864868,3.20607852935791,3.1303529739379883
11,0.018174059689044952,-0.032119568437337875,0.009118967689573765,0.009055092930793762,,,,,,,,,,,,,,
12,0.017569663003087044,-0.03496691957116127,0.008889726363122463,0.00867993663996458,,,,,,,,,,,,,,
13,0.016937928274273872,-0.039770305156707764,0.008531003259122372,0.0084069250151515,,,,,,,,,,,,,,
14,0.01686973124742508,-0.04149200767278671,0.008500137366354465,0.008369594812393188,,,,,,,,,,,,,,
15,0.016182996332645416,-0.04432094469666481,0.00813469011336565,0.00804830715060234,,,,,,,,,,,,,,
16,0.015905406326055527,-0.04821212589740753,0.007951895706355572,0.007953510619699955,,,,,,,,,,,,,,
17,0.015480884350836277,-0.0512484535574913,0.0077500008046627045,0.0077308835461735725,,,,,,,,,,,,,,
18,0.015274547971785069,-0.05474356189370155,0.00764053501188755,0.007634012959897518,,,,,,,,,,,,,,
