epoch,critic_loss,actor_loss,q1_loss,q2_loss,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,0.07360714673995972,-0.00411943718791008,0.03959761932492256,0.03400952368974686,,,,,,,,,,,,,,
2,0.06026636064052582,-0.02621321938931942,0.031858041882514954,0.028408320620656013,,,,,,,,,,,,,,
3,0.05147270858287811,-0.04498456418514252,0.026694737374782562,0.0247779693454504,,,,,,,,,,,,,,
4,0.0450102835893631,-0.05948425084352493,0.022993221879005432,0.022017061710357666,,,,,,,,,,,,,,
5,0.0402861088514328,-0.07203616946935654,0.020245809108018875,0.020040301606059074,,,,,,,,,,,,,,
6,0.03694644570350647,-0.08254028856754303,0.018366236239671707,0.018580207601189613,,,,,,,,,,,,,,
7,0.03440801799297333,-0.09151206910610199,0.01695733517408371,0.017450684681534767,,,,,,,,,,,,,,
8,0.032318878918886185,-0.09974800050258636,0.01584109105169773,0.016477787867188454,,,,,,,,,,,,,,
9,0.030385881662368774,-0.10685906559228897,0.014844929799437523,0.015540952794253826,,,,,,,,,,,,,,
10,0.028664756566286087,-0.11431791633367538,0.014034395106136799,0.014630362391471863,0.7805166244506836,0.7805166244506836,0.2194833755493164,9.443238258361816,0.9278173709772204,0.016673073172569275,17.566509246826172,-0.0,6.597970485687256,0.7758461833000183,0.8719148843675828,0.7758461833000183,3.1607632637023926,2.6225385665893555
11,0.027137290686368942,-0.1208377331495285,0.013297523371875286,0.013839766383171082,,,,,,,,,,,,,,
12,0.02563823014497757,-0.12753060460090637,0.012506847269833088,0.013131382875144482,,,,,,,,,,,,,,
13,0.024096034467220306,-0.13503123819828033,0.01174127496778965,0.012354760430753231,,,,,,,,,,,,,,
14,0.02267715334892273,-0.1405363380908966,0.011097133159637451,0.011580020189285278,,,,,,,,,,,,,,
15,0.021560095250606537,-0.1462993323802948,0.010611389763653278,0.010948706418275833,,,,,,,,,,,,,,
16,0.020191188901662827,-0.15185175836086273,0.009901933372020721,0.010289255529642105,,,,,,,,,,,,,,
17,0.019230537116527557,-0.15692269802093506,0.009476898238062859,0.009753639809787273,,,,,,,,,,,,,,
18,0.01809249445796013,-0.160487562417984,0.008987246081233025,0.009105248376727104,,,,,,,,,,,,,,
19,0.016900010406970978,-0.16451795399188995,0.008393404074013233,0.008506606332957745,,,,,,,,,,,,,,
20,0.0159178264439106,-0.16779567301273346,0.007873807102441788,0.008044019341468811,0.780813455581665,0.780813455581665,0.21918654441833496,9.493307113647461,0.8586338336587823,0.008744955062866211,17.66110610961914,-0.0,8.050712585449219,0.7759312987327576,0.873754031458952,0.7759312987327576,3.092916965484619,2.78340744972229
21,0.01524440012872219,-0.16932697594165802,0.007544088643044233,0.0077003114856779575,,,,,,,,,,,,,,
22,0.014488408342003822,-0.17150253057479858,0.007201625034213066,0.007286782842129469,,,,,,,,,,,,,,
23,0.013448835350573063,-0.17349718511104584,0.006682910956442356,0.006765924394130707,,,,,,,,,,,,,,
24,0.012888344004750252,-0.1764298379421234,0.006425731815397739,0.0064626126550138,,,,,,,,,,,,,,
25,0.012168661691248417,-0.17777873575687408,0.006055610720068216,0.006113050971180201,,,,,,,,,,,,,,
26,0.011371849104762077,-0.17993885278701782,0.005648462567478418,0.005723387002944946,,,,,,,,,,,,,,
27,0.01099653635174036,-0.18317826092243195,0.005445906426757574,0.005550629924982786,,,,,,,,,,,,,,
28,0.010087920352816582,-0.1861530840396881,0.005020194686949253,0.005067725665867329,,,,,,,,,,,,,,
29,0.009278594516217709,-0.18895286321640015,0.00458831712603569,0.004690277390182018,,,,,,,,,,,,,,
30,0.0092738326638937,-0.19256408512592316,0.004604950547218323,0.00466888165101409,0.7764502763748169,0.7764502763748169,0.2235497236251831,9.405702590942383,0.9718151228774093,0.003795886877924204,17.8251895904541,-0.0,7.839159965515137,0.7759053707122803,0.8719869162762547,0.7759053707122803,3.1523702144622803,2.6456856727600098
31,0.008803736418485641,-0.19684195518493652,0.004355722106993198,0.004448013845831156,,,,,,,,,,,,,,
32,0.008237026631832123,-0.2005065381526947,0.004090192262083292,0.004146834835410118,,,,,,,,,,,,,,
33,0.0077645364217460155,-0.20205730199813843,0.003846540581434965,0.00391799584031105,,,,,,,,,,,,,,
34,0.007407700642943382,-0.20476889610290527,0.0036889086477458477,0.0037187919951975346,,,,,,,,,,,,,,
35,0.006998353637754917,-0.20829913020133972,0.00348439603112638,0.0035139573737978935,,,,,,,,,,,,,,
36,0.00674604345113039,-0.21089789271354675,0.0033622151240706444,0.003383828094229102,,,,,,,,,,,,,,
37,0.006598890759050846,-0.21198344230651855,0.003282414050772786,0.0033164764754474163,,,,,,,,,,,,,,
38,0.006249392870813608,-0.214819997549057,0.0031069035176187754,0.003142489353194833,,,,,,,,,,,,,,
39,0.005941417068243027,-0.2172224521636963,0.002943445462733507,0.0029979716055095196,,,,,,,,,,,,,,
40,0.005780886858701706,-0.22015687823295593,0.002877263817936182,0.0029036228079348803,0.7817672491073608,0.7817672491073608,0.21823275089263916,8.607271194458008,0.7666024071235576,0.08802613615989685,16.530168533325195,-0.0,6.005246162414551,0.7760922312736511,0.8671500286754368,0.7760922312736511,3.1641225814819336,2.5806922912597656
41,0.005465802736580372,-0.22333721816539764,0.0026913622859865427,0.002774440683424473,,,,,,,,,,,,,,
42,0.0051716831512749195,-0.2231268435716629,0.0025665978901088238,0.0026050852611660957,,,,,,,,,,,,,,
43,0.0051741404458880424,-0.22567905485630035,0.0025751725770533085,0.002598967868834734,,,,,,,,,,,,,,
44,0.005173439159989357,-0.22662293910980225,0.002582457149401307,0.0025909817777574062,,,,,,,,,,,,,,
45,0.004641488194465637,-0.22956755757331848,0.0022954146843403578,0.002346073742955923,,,,,,,,,,,,,,
46,0.00427993293851614,-0.23349159955978394,0.0021133136469870806,0.0021666190586984158,,,,,,,,,,,,,,
47,0.004394502379000187,-0.23588356375694275,0.0021780531387776136,0.0022164492402225733,,,,,,,,,,,,,,
48,0.004327982664108276,-0.23804818093776703,0.002146546496078372,0.002181436400860548,,,,,,,,,,,,,,
49,0.003979549743235111,-0.2398161143064499,0.0019651323091238737,0.0020144174341112375,,,,,,,,,,,,,,
50,0.004118273966014385,-0.24324899911880493,0.0020460207015275955,0.0020722532644867897,0.7828404903411865,0.7828404903411865,0.21715950965881348,7.537500381469727,0.4988567928557493,0.11209878325462341,16.401174545288086,-0.0,6.238648414611816,0.7761875987052917,0.8632787818783842,0.7761875987052917,3.1717913150787354,2.673166275024414
51,0.003784305416047573,-0.24392841756343842,0.0018752643372863531,0.0019090411951765418,,,,,,,,,,,,,,
52,0.0035855071619153023,-0.24554738402366638,0.0017608809284865856,0.0018246262334287167,,,,,,,,,,,,,,
53,0.003715445753186941,-0.24858596920967102,0.001843506470322609,0.0018719391664490104,,,,,,,,,,,,,,
54,0.003302636556327343,-0.2497808337211609,0.0016214350471273065,0.0016812013927847147,,,,,,,,,,,,,,
55,0.003119059605523944,-0.2524504065513611,0.0015233356971293688,0.0015957239083945751,,,,,,,,,,,,,,
56,0.003260838333517313,-0.25547632575035095,0.001604934106580913,0.0016559042269364,,,,,,,,,,,,,,
57,0.0034169561695307493,-0.2564709484577179,0.001665479619987309,0.0017514765495434403,,,,,,,,,,,,,,
58,0.0032478587236255407,-0.2585681676864624,0.0016065376112237573,0.0016413211124017835,,,,,,,,,,,,,,
59,0.0030246376991271973,-0.26125216484069824,0.0014816984767094254,0.00154293910600245,,,,,,,,,,,,,,
