epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,expected_support_cost,expected_smoothness_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,support_cost_for_lambda,smooth_cost_for_lambda,uncertainty_cost_for_lambda,cost_budget,support_budget,smooth_budget,uncertainty_budget,lagrange,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,expert_kl,uses_action_mask,use_certified_nudging,barrier_weight,support_weight,rho_cost,rho_reward,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.222833633422852,0.9190093278884888,0.03827353194355965,0.0347665436565876,0.9202355742454529,3.237417221069336,3.221698760986328,3.235898916649014e-18,0.09402048587799072,0.8795731663703918,0.11605770885944366,0.10040245950222015,3.235898916649014e-18,0.8795731663703918,0.11605770885944366,0.10040245950222015,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.004408039152622223,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2,4.156420707702637,0.8787898421287537,0.038587749004364014,0.03487290069460869,0.9009307026863098,3.1885910034179688,3.1754674911499023,3.0310472243599505e-18,0.11332017928361893,0.8772550225257874,0.1163967028260231,0.1090015172958374,3.0310472243599505e-18,0.8772550225257874,0.1163967028260231,0.1090015172958374,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0060054836794734,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
3,4.089264869689941,0.8371917605400085,0.041391193866729736,0.03736020252108574,0.8773056864738464,3.1389544010162354,3.1274616718292236,2.8223282559120484e-18,0.13602453470230103,0.8746342062950134,0.11675505340099335,0.11893734335899353,2.8223282559120484e-18,0.8746342062950134,0.11675505340099335,0.11893734335899353,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.008787767961621284,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
4,4.024790287017822,0.798550009727478,0.04592317342758179,0.04183948412537575,0.8500927686691284,3.0938308238983154,3.0800392627716064,2.638361840114183e-18,0.1620730608701706,0.8724334239959717,0.11698297411203384,0.13145095109939575,2.638361840114183e-18,0.8724334239959717,0.11698297411203384,0.13145095109939575,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.011258459649980068,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
5,3.957404136657715,0.7571446895599365,0.05260501429438591,0.0485822893679142,0.8185672163963318,3.043792724609375,3.0315067768096924,2.4584202783818477e-18,0.19127920269966125,0.8698091506958008,0.11732849478721619,0.14445233345031738,2.4584202783818477e-18,0.8698091506958008,0.11732849478721619,0.14445233345031738,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.015588046051561832,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
6,3.8868255615234375,0.7115239500999451,0.06162203103303909,0.058470871299505234,0.7820653319358826,2.99307918548584,2.976255416870117,2.2828747680149253e-18,0.22858098149299622,0.8677799105644226,0.1175680086016655,0.15971167385578156,2.2828747680149253e-18,0.8677799105644226,0.1175680086016655,0.15971167385578156,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.02016645111143589,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
7,3.8196372985839844,0.6617395877838135,0.07166236639022827,0.07046041637659073,0.742554247379303,2.946570873260498,2.923349380493164,2.1209638824798676e-18,0.26718366146087646,0.8653516173362732,0.11787301301956177,0.17371203005313873,2.1209638824798676e-18,0.8653516173362732,0.11787301301956177,0.17371203005313873,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.02605362795293331,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
8,3.747288227081299,0.6076412796974182,0.08454771339893341,0.0860220342874527,0.6963468790054321,2.895972728729248,2.8647701740264893,1.9587467333230122e-18,0.3146377503871918,0.8632259964942932,0.11804812401533127,0.19035573303699493,1.9587467333230122e-18,0.8632259964942932,0.11804812401533127,0.19035573303699493,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.03233431652188301,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
9,3.6735458374023438,0.5495985150337219,0.0994933471083641,0.10402104258537292,0.6456244587898254,2.8421661853790283,2.806648015975952,1.8075455619738317e-18,0.3635559380054474,0.8613681793212891,0.11818362027406693,0.20387189090251923,1.8075455619738317e-18,0.8613681793212891,0.11818362027406693,0.20387189090251923,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0400284044444561,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10,3.598909854888916,0.4863123297691345,0.11581546068191528,0.12483161687850952,0.5911814570426941,2.787959098815918,2.7462034225463867,1.6661290066929644e-18,0.4163579046726227,0.8593031764030457,0.11807601898908615,0.2154569923877716,1.6946878975705162e-18,0.8580371737480164,0.1182943731546402,0.2109633833169937,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.047652244567871094,False,True,25.0,1.0,1.0,1.0,0.7814664840698242,0.7814664840698242,0.21853351593017578,8.333971977233887,0.0,0.8514318466186523,4.098334789276123,-0.0,1.428885817527771,0.7808771133422852,1.6946878975705162e-18,0.7808771133422852,0.4744342267513275,0.02855725586414337
11,3.525486707687378,0.4203381836414337,0.131942018866539,0.14590544998645782,0.5348866581916809,2.735438108444214,2.6900670528411865,1.5437127900824402e-18,0.47414430975914,0.8577271699905396,0.11810074001550674,0.22767548263072968,1.5437127900824402e-18,0.8577271699905396,0.11810074001550674,0.22767548263072968,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.05599316954612732,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
12,3.454914093017578,0.3508906364440918,0.1492006629705429,0.16835595667362213,0.4780513644218445,2.6837809085845947,2.634830951690674,1.4286731633795107e-18,0.5320216417312622,0.8561081290245056,0.11816690117120743,0.23679111897945404,1.4286731633795107e-18,0.8561081290245056,0.11816690117120743,0.23679111897945404,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.06669389456510544,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
13,3.383113145828247,0.2741594612598419,0.16336095333099365,0.19034627079963684,0.42075496912002563,2.635645866394043,2.581655979156494,1.3227522723517892e-18,0.5919225811958313,0.853705883026123,0.11826649308204651,0.23929716646671295,1.3227522723517892e-18,0.853705883026123,0.11826649308204651,0.23929716646671295,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.07611855864524841,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
14,3.3150458335876465,0.20538374781608582,0.17761822044849396,0.21099045872688293,0.36572539806365967,2.590115785598755,2.5313079357147217,1.2400349348795225e-18,0.6432233452796936,0.8522546887397766,0.1183832436800003,0.24073341488838196,1.2400349348795225e-18,0.8522546887397766,0.1183832436800003,0.24073341488838196,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.08437080681324005,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
15,3.2465567588806152,0.136546328663826,0.18735380470752716,0.2279447466135025,0.31486639380455017,2.5453457832336426,2.4874379634857178,1.1696074333582623e-18,0.6890150308609009,0.8498170971870422,0.11860852688550949,0.23614130914211273,1.1696074333582623e-18,0.8498170971870422,0.11860852688550949,0.23614130914211273,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.09121032804250717,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
16,3.186079978942871,0.0663311555981636,0.193748340010643,0.24106134474277496,0.2715650796890259,2.5099337100982666,2.449476957321167,1.1042058812388743e-18,0.734146773815155,0.8471315503120422,0.11894053220748901,0.23205041885375977,1.1042058812388743e-18,0.8471315503120422,0.11894053220748901,0.23205041885375977,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.09857488423585892,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
17,3.124661922454834,0.0013692951761186123,0.19714288413524628,0.24795953929424286,0.23357267677783966,2.4746975898742676,2.417275905609131,1.0599761202953576e-18,0.7689328789710999,0.8459008932113647,0.11955824494361877,0.21929775178432465,1.0599761202953576e-18,0.8459008932113647,0.11955824494361877,0.21929775178432465,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.10372833162546158,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
18,3.074166774749756,-0.050481874495744705,0.19593316316604614,0.24894979596138,0.20474423468112946,2.452630043029785,2.396449089050293,1.0257704442074883e-18,0.7926087975502014,0.8430765271186829,0.1199907660484314,0.20650365948677063,1.0257704442074883e-18,0.8430765271186829,0.1199907660484314,0.20650365948677063,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.10768523812294006,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
19,3.03290057182312,-0.1052648276090622,0.19690808653831482,0.2489631325006485,0.18453682959079742,2.4283969402313232,2.3765881061553955,9.887793408044231e-19,0.8082135319709778,0.840688169002533,0.12036530673503876,0.19134226441383362,9.887793408044231e-19,0.840688169002533,0.12036530673503876,0.19134226441383362,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.11309114843606949,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
20,2.9950432777404785,-0.14695730805397034,0.19394651055335999,0.24082642793655396,0.17031921446323395,2.4122722148895264,2.3676300048828125,9.68420771568268e-19,0.8148165941238403,0.8395095467567444,0.12095436453819275,0.178352952003479,9.526326329743793e-19,0.8374611139297485,0.12105447053909302,0.17067202925682068,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.11650077998638153,False,True,25.0,1.0,1.0,1.0,0.7814582586288452,0.7814582586288452,0.21854174137115479,8.042820930480957,0.0,0.8482606410980225,4.121554851531982,-0.0,1.567420482635498,0.782421886920929,9.526326329743793e-19,0.782421886920929,0.43072524666786194,0.06819776445627213
21,2.964373826980591,-0.17547248303890228,0.1916324943304062,0.23115496337413788,0.16179892420768738,2.3983376026153564,2.3612372875213623,9.55509516182081e-19,0.8153040409088135,0.8381984829902649,0.12136586755514145,0.16618216037750244,9.55509516182081e-19,0.8381984829902649,0.12136586755514145,0.16618216037750244,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.11930467188358307,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
