epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,expected_support_cost,expected_smoothness_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,support_cost_for_lambda,smooth_cost_for_lambda,uncertainty_cost_for_lambda,cost_budget,support_budget,smooth_budget,uncertainty_budget,lagrange,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,expert_kl,uses_action_mask,use_certified_nudging,barrier_weight,support_weight,rho_cost,rho_reward,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.268011569976807,0.9884757399559021,0.03201175853610039,0.0292108952999115,0.956138014793396,3.3405797481536865,3.160722255706787,2.975575872096685e-18,0.11929039657115936,0.8810282945632935,0.11090929061174393,0.14531315863132477,2.975575872096685e-18,0.8810282945632935,0.11090929061174393,0.14531315863132477,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.006276171188801527,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2,4.20637845993042,0.9482372403144836,0.02967938967049122,0.029478494077920914,0.9401169419288635,3.292984962463379,3.121222496032715,2.7838122450497418e-18,0.13903400301933289,0.8788695931434631,0.11076778918504715,0.14899155497550964,2.7838122450497418e-18,0.8788695931434631,0.11076778918504715,0.14899155497550964,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.00633908249437809,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
3,4.143482685089111,0.9053489565849304,0.029236262664198875,0.03138626366853714,0.9212445020675659,3.245837926864624,3.0773935317993164,2.6041357947037296e-18,0.16293969750404358,0.8764024376869202,0.11076893657445908,0.15494482219219208,2.6041357947037296e-18,0.8764024376869202,0.11076893657445908,0.15494482219219208,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.006459174677729607,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
4,4.082594871520996,0.8653020262718201,0.030092958360910416,0.03507489338517189,0.8995283246040344,3.2007551193237305,3.035041570663452,2.4336178880999045e-18,0.19364602863788605,0.8740353584289551,0.1105906292796135,0.16412892937660217,2.4336178880999045e-18,0.8740353584289551,0.1105906292796135,0.16412892937660217,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.007201713975518942,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
5,4.018631458282471,0.8216941356658936,0.032790813595056534,0.04022006317973137,0.8741705417633057,3.1512062549591064,2.991694450378418,2.2701421836410497e-18,0.2250884622335434,0.8724046349525452,0.11063212156295776,0.17323902249336243,2.2701421836410497e-18,0.8724046349525452,0.11063212156295776,0.17323902249336243,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.007587747182697058,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
6,3.9529101848602295,0.7749084830284119,0.037195030599832535,0.04775198549032211,0.8451388478279114,3.1009626388549805,2.944685935974121,2.1091790402928246e-18,0.26480934023857117,0.870205819606781,0.11064383387565613,0.18611359596252441,2.1091790402928246e-18,0.870205819606781,0.11064383387565613,0.18611359596252441,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.008544511161744595,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
7,3.8821310997009277,0.7239519357681274,0.04394485056400299,0.058412130922079086,0.8105682134628296,3.046396493911743,2.892014980316162,1.9519762600092657e-18,0.3102143704891205,0.8676072359085083,0.11056172102689743,0.1982889026403427,1.9519762600092657e-18,0.8676072359085083,0.11056172102689743,0.1982889026403427,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.00962926633656025,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
8,3.812365770339966,0.6708782315254211,0.05280002951622009,0.07091977447271347,0.7719276547431946,2.99198055267334,2.8414559364318848,1.8043706359877e-18,0.35811352729797363,0.8654195070266724,0.11055070906877518,0.21034035086631775,1.8043706359877e-18,0.8654195070266724,0.11055070906877518,0.21034035086631775,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.010618462227284908,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
9,3.734760284423828,0.611200213432312,0.06460507959127426,0.08689744770526886,0.7272279262542725,2.9296979904174805,2.7823615074157715,1.6657481934184603e-18,0.41452789306640625,0.8634097576141357,0.11065639555454254,0.22451764345169067,1.6657481934184603e-18,0.8634097576141357,0.11065639555454254,0.22451764345169067,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.011733238585293293,False,False,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10,3.6616451740264893,0.5467237234115601,0.08056292682886124,0.10755308717489243,0.6776711940765381,2.867002010345459,2.7247140407562256,1.5353834949043375e-18,0.4773980677127838,0.8614929914474487,0.11073490232229233,0.2359115332365036,1.5798671014519244e-18,0.859864354133606,0.11062853783369064,0.23152519762516022,0.0001,0.25,1.0,0.25,0.0,0.0,0.000609864354133606,0.0,0.0,0.013333517126739025,False,False,25.0,1.0,1.0,1.0,0.7802960872650146,0.7802960872650146,0.21970391273498535,9.360002517700195,0.0,0.9089467525482178,3.99180006980896,-0.0,1.1173985004425049,0.7781317234039307,1.563198714334224e-18,0.7781317234039307,0.4940530061721802,0.007047927938401699
