epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,cost_budget,lagrange,expert_kl,smoothness,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert,trajectory_mean_action_jump,trajectory_normalised_action_jump
1,4.12507438659668,0.0892094150185585,0.02805505320429802,0.0281185545027256,0.8592990636825562,3.185919761657715,3.233283758163452,0.8757144808769226,0.05335202440619469,0.0,0.00017514289617538454,2.380652904510498,0.3541199862957001,,,,,,,,,,,,,,,,
2,4.0645880699157715,0.0953625813126564,0.029037252068519592,0.029384983703494072,0.8366392254829407,3.146789073944092,3.1922640800476074,0.8750928640365601,0.06944486498832703,0.0,0.0003501614689826965,2.368816614151001,0.3536161482334137,,,,,,,,,,,,,,,,
3,4.001461982727051,0.10356506705284119,0.030894633382558823,0.0315796323120594,0.8098598122596741,3.1061837673187256,3.1520721912384033,0.8741673827171326,0.08899042755365372,0.0,0.0005249949455261231,2.3527801036834717,0.35304057598114014,,,,,,,,,,,,,,,,
4,3.9368979930877686,0.11131482571363449,0.034977078437805176,0.03547530621290207,0.77925705909729,3.0644352436065674,3.1099417209625244,0.8730072379112244,0.11018335074186325,0.0,0.0006995963931083679,2.336459159851074,0.3527674078941345,,,,,,,,,,,,,,,,
5,3.871490001678467,0.12067171931266785,0.04034226015210152,0.04060676693916321,0.7457264065742493,3.020498514175415,3.0691306591033936,0.8714781999588013,0.13602067530155182,0.0,0.0008738920331001281,2.3180041313171387,0.3523015081882477,,,,,,,,,,,,,,,,
6,3.802032470703125,0.128961980342865,0.04748305305838585,0.047014858573675156,0.708785891532898,2.9739580154418945,3.0235390663146973,0.8695403933525085,0.16526959836483002,0.0,0.0010478001117706299,2.2928035259246826,0.3517249822616577,,,,,,,,,,,,,,,,
7,3.730462074279785,0.13564342260360718,0.05653112754225731,0.055256396532058716,0.6684884428977966,2.9211108684539795,2.979261636734009,0.8676882982254028,0.19839589297771454,0.0,0.0012213377714157105,2.272177219390869,0.35145103931427,,,,,,,,,,,,,,,,
8,3.6560020446777344,0.14214198291301727,0.06834731996059418,0.06593412905931473,0.6229874491691589,2.8690102100372314,2.9284558296203613,0.8657151460647583,0.23685699701309204,0.0,0.0013944808006286621,2.2495310306549072,0.3510494828224182,,,,,,,,,,,,,,,,
9,3.578856945037842,0.14401061832904816,0.08186455070972443,0.0779692679643631,0.5749102234840393,2.8115904331207275,2.8766353130340576,0.8632346987724304,0.28016921877861023,0.0,0.0015671277403831482,2.2235519886016846,0.35046467185020447,,,,,,,,,,,,,,,,
10,3.502450466156006,0.1424749493598938,0.09802713990211487,0.09220429509878159,0.5247483849525452,2.751033306121826,2.8239078521728516,0.8604394197463989,0.3276398777961731,0.0,0.0017392156243324279,2.195528984069824,0.34999480843544006,,,,,,,,,,,,,,,,
11,3.4293344020843506,0.13567295670509338,0.11682087928056717,0.10739216953516006,0.47432494163513184,2.6923418045043945,2.7692511081695557,0.8577373623847961,0.37962907552719116,0.0,0.0019107630968093871,2.1702234745025635,0.3497723937034607,,,,,,,,,,,,,,,,
12,3.3574776649475098,0.12429486215114594,0.13688838481903076,0.12340198457241058,0.42319366335868835,2.6312344074249268,2.7167530059814453,0.8546140789985657,0.4374319612979889,0.0,0.0020816859126091,2.1399452686309814,0.3493305444717407,,,,,,,,,,,,,,,,
13,3.2898521423339844,0.10683028399944305,0.1577218621969223,0.13897843658924103,0.37357062101364136,2.5737459659576416,2.665416717529297,0.8511159420013428,0.4980960786342621,0.0,0.0022519091010093687,2.1093780994415283,0.3490426540374756,,,,,,,,,,,,,,,,
14,3.228593349456787,0.08432402461767197,0.18026447296142578,0.15389245748519897,0.3291735053062439,2.5152833461761475,2.6152420043945312,0.8473291397094727,0.5667136907577515,0.0,0.002421374928951263,2.076508045196533,0.34871891140937805,,,,,,,,,,,,,,,,
15,3.1753745079040527,0.05620140954852104,0.2016294151544571,0.16814666986465454,0.2878580689430237,2.4655773639678955,2.5699031352996826,0.843266487121582,0.6323200464248657,0.0,0.0025900282263755796,2.0443637371063232,0.348421573638916,,,,,,,,,,,,,,,,
16,3.133256673812866,0.02414967305958271,0.22130736708641052,0.1790236532688141,0.25601333379745483,2.4231467247009277,2.5306777954101562,0.8390224575996399,0.695821225643158,0.0,0.002757832717895508,2.0107548236846924,0.3482343256473541,,,,,,,,,,,,,,,,
17,3.087815999984741,-0.013229191303253174,0.23222672939300537,0.1849171668291092,0.22783291339874268,2.388309955596924,2.497368574142456,0.8340654969215393,0.7568094730377197,0.0,0.0029246458172798155,1.974727988243103,0.3480948805809021,,,,,,,,,,,,,,,,
18,3.0528860092163086,-0.05096970498561859,0.24199950695037842,0.19004057347774506,0.20620690286159515,2.361726999282837,2.467550754547119,0.8285760879516602,0.8110005259513855,0.0,0.0030903610348701474,1.9363486766815186,0.347636878490448,,,,,,,,,,,,,,,,
19,3.020076036453247,-0.09169647097587585,0.24156059324741364,0.1909845769405365,0.18826693296432495,2.3500781059265137,2.4484498500823975,0.8227214813232422,0.8589533567428589,0.0,0.003254905331134796,1.8969228267669678,0.34754490852355957,,,,,,,,,,,,,,,,
20,2.994645357131958,-0.12788701057434082,0.240448459982872,0.19377917051315308,0.1762191206216812,2.340039014816284,2.4283580780029297,0.8168731331825256,0.8886831998825073,0.0,0.0034182799577713013,1.8610222339630127,0.34742841124534607,,,,,,,,,,,,,,,,
