expert_action,voac_action,laadan_action,state_count
5,20,5,157
0,15,0,99
20,20,20,95
10,20,10,85
0,20,0,57
15,20,15,53
0,10,0,52
0,5,0,18
24,20,24,14
10,20,5,14
0,23,0,10
5,20,10,8
15,20,20,6
15,20,5,6
15,20,10,5
20,20,15,4
24,23,24,3
20,20,10,3
10,20,15,3
24,15,24,3
5,20,20,3
23,20,20,2
10,20,20,2
24,5,24,1
23,20,24,1
24,18,24,1
12,20,10,1
17,20,20,1
5,10,5,1
20,15,20,1
22,20,10,1
5,15,5,1
22,20,20,1
22,20,22,1
5,15,15,1
