model,state_id,action,admissible,q_value
Behavior Cloning,673,15,0,1.799452781677246
Behavior Cloning,673,16,0,-8.550748825073242
Behavior Cloning,673,17,0,-7.954065799713135
Behavior Cloning,673,18,0,-14.474529266357422
Behavior Cloning,673,19,0,-11.184429168701172
Behavior Cloning,673,20,0,0.5219311714172363
Behavior Cloning,673,21,0,-10.894987106323242
Behavior Cloning,673,22,0,-13.088106155395508
Behavior Cloning,673,23,0,-15.400190353393555
Behavior Cloning,673,24,0,-4.449284553527832
Behavior Cloning,679,0,1,10.081338882446289
Behavior Cloning,679,1,1,7.759042739868164
Behavior Cloning,679,2,0,1.4977473020553589
Behavior Cloning,679,3,0,0.7025449275970459
Behavior Cloning,679,4,0,3.879448652267456
Behavior Cloning,679,5,0,4.051043510437012
Behavior Cloning,679,6,0,2.4309403896331787
Behavior Cloning,679,7,0,0.40800321102142334
Behavior Cloning,679,8,0,-2.0822134017944336
Behavior Cloning,679,9,0,-2.787916898727417
Behavior Cloning,679,10,0,2.582463264465332
Behavior Cloning,679,11,0,-1.4345217943191528
Behavior Cloning,679,12,0,-1.6465224027633667
Behavior Cloning,679,13,0,-5.012200355529785
Behavior Cloning,679,14,0,-10.170766830444336
Behavior Cloning,679,15,0,-0.966839075088501
Behavior Cloning,679,16,0,-3.2328379154205322
Behavior Cloning,679,17,0,-7.100912570953369
Behavior Cloning,679,18,0,-11.647377014160156
Behavior Cloning,679,19,0,-6.458600997924805
Behavior Cloning,679,20,0,-2.523388385772705
Behavior Cloning,679,21,0,-13.390481948852539
Behavior Cloning,679,22,0,-13.44877815246582
Behavior Cloning,679,23,0,-15.509173393249512
Behavior Cloning,679,24,0,-8.276084899902344
Behavior Cloning,24,0,1,13.724478721618652
Behavior Cloning,24,1,0,2.7824273109436035
Behavior Cloning,24,2,0,0.9685133695602417
Behavior Cloning,24,3,0,0.7350219488143921
Behavior Cloning,24,4,0,2.783294200897217
Behavior Cloning,24,5,0,3.7403857707977295
Behavior Cloning,24,6,0,-1.1837379932403564
Behavior Cloning,24,7,0,-2.3025317192077637
Behavior Cloning,24,8,0,-2.561771869659424
Behavior Cloning,24,9,0,-2.2509658336639404
Behavior Cloning,24,10,0,1.249326467514038
Behavior Cloning,24,11,0,-6.094414710998535
Behavior Cloning,24,12,0,-4.562786102294922
Behavior Cloning,24,13,0,-5.362161636352539
Behavior Cloning,24,14,0,-8.520066261291504
Behavior Cloning,24,15,0,-0.5802726745605469
Behavior Cloning,24,16,0,-5.59277868270874
Behavior Cloning,24,17,0,-5.9032158851623535
Behavior Cloning,24,18,0,-11.123661041259766
Behavior Cloning,24,19,0,-5.579122066497803
Behavior Cloning,24,20,0,-2.523184061050415
Behavior Cloning,24,21,0,-10.9686918258667
Behavior Cloning,24,22,0,-12.922222137451172
Behavior Cloning,24,23,0,-12.817230224609375
Behavior Cloning,24,24,0,-4.772204875946045
Behavior Cloning,25,0,1,14.409213066101074
Behavior Cloning,25,1,0,4.50325345993042
Behavior Cloning,25,2,0,1.2552590370178223
Behavior Cloning,25,3,0,1.6718655824661255
Behavior Cloning,25,4,0,5.673336029052734
Behavior Cloning,25,5,0,4.030600547790527
Behavior Cloning,25,6,0,-0.3002406060695648
Behavior Cloning,25,7,0,-0.5927978754043579
Behavior Cloning,25,8,0,-2.4386792182922363
Behavior Cloning,25,9,0,-2.3235063552856445
Behavior Cloning,25,10,0,1.7036490440368652
Behavior Cloning,25,11,0,-5.6880202293396
Behavior Cloning,25,12,0,-3.795850992202759
Behavior Cloning,25,13,0,-5.888467788696289
Behavior Cloning,25,14,0,-10.383952140808105
Behavior Cloning,25,15,0,-0.7611050605773926
Behavior Cloning,25,16,0,-5.144320011138916
Behavior Cloning,25,17,0,-7.819683074951172
Behavior Cloning,25,18,0,-13.306438446044922
Behavior Cloning,25,19,0,-6.811351299285889
Behavior Cloning,25,20,0,-3.0350430011749268
Behavior Cloning,25,21,0,-13.76864242553711
Behavior Cloning,25,22,0,-14.716004371643066
Behavior Cloning,25,23,0,-15.767658233642578
Behavior Cloning,25,24,0,-6.905229568481445
Conservative Q-Learning,681,0,1,16.99679183959961
Conservative Q-Learning,681,1,0,13.486382484436035
Conservative Q-Learning,681,2,0,13.500824928283691
Conservative Q-Learning,681,3,0,13.501729011535645
Conservative Q-Learning,681,4,0,13.496912956237793
Conservative Q-Learning,681,5,0,13.657533645629883
Conservative Q-Learning,681,6,0,13.52442741394043
Conservative Q-Learning,681,7,0,13.489252090454102
Conservative Q-Learning,681,8,0,13.487422943115234
Conservative Q-Learning,681,9,0,13.53280258178711
Conservative Q-Learning,681,10,0,13.472718238830566
Conservative Q-Learning,681,11,0,13.472105979919434
Conservative Q-Learning,681,12,0,13.512063980102539
Conservative Q-Learning,681,13,0,13.502598762512207
Conservative Q-Learning,681,14,0,13.467655181884766
Conservative Q-Learning,681,15,0,13.557000160217285
Conservative Q-Learning,681,16,0,13.500682830810547
Conservative Q-Learning,681,17,0,13.515438079833984
Conservative Q-Learning,681,18,0,13.530471801757812
Conservative Q-Learning,681,19,0,13.49007797241211
Conservative Q-Learning,681,20,0,13.718462944030762
Conservative Q-Learning,681,21,0,13.502307891845703
Conservative Q-Learning,681,22,0,13.54527473449707
Conservative Q-Learning,681,23,0,13.513741493225098
