feature_index,safe_state_mean,unsafe_state_mean,difference_unsafe_minus_safe,absolute_difference
0,-0.06835564225912094,0.09058012813329697,0.1589357703924179,0.1589357703924179
1,0.3198632001876831,-0.4419691562652588,-0.7618323564529419,0.7618323564529419
2,-0.01755649410188198,0.010922631248831749,0.02847912535071373,0.02847912535071373
3,-0.12032422423362732,0.18295639753341675,0.30328062176704407,0.30328062176704407
4,-0.06928420066833496,0.09484029561281204,0.164124496281147,0.164124496281147
5,-0.018089700490236282,0.025184283033013344,0.043273983523249626,0.043273983523249626
6,-0.049883678555488586,0.06795476377010345,0.11783844232559204,0.11783844232559204
7,0.031417813152074814,-0.042500875890254974,-0.07391868904232979,0.07391868904232979
8,-0.00925255473703146,0.012503411620855331,0.02175596635788679,0.02175596635788679
9,0.020990129560232162,-0.02889343351125717,-0.049883563071489334,0.049883563071489334
10,0.019207799807190895,-0.026311371475458145,-0.04551917128264904,0.04551917128264904
11,-0.0711347833275795,0.09820564091205597,0.16934042423963547,0.16934042423963547
12,0.1753576397895813,-0.2411411851644516,-0.4164988249540329,0.4164988249540329
13,-0.012845184653997421,0.018156133592128754,0.031001318246126175,0.031001318246126175
14,-0.19603030383586884,0.2700829803943634,0.46611328423023224,0.46611328423023224
15,0.07040327042341232,-0.09704748541116714,-0.16745075583457947,0.16745075583457947
16,0.21921800076961517,-0.30152466893196106,-0.5207426697015762,0.5207426697015762
17,-0.079039566218853,0.10923566669225693,0.18827523291110992,0.18827523291110992
18,-0.08843526989221573,0.12187400460243225,0.21030927449464798,0.21030927449464798
19,-0.16653972864151,0.2289254367351532,0.3954651653766632,0.3954651653766632
20,-0.08085600286722183,0.11096151918172836,0.1918175220489502,0.1918175220489502
21,0.01941986195743084,-0.026040930300951004,-0.045460792258381844,0.045460792258381844
22,-0.07649555057287216,0.10514530539512634,0.1816408559679985,0.1816408559679985
23,-0.10955633968114853,0.151139497756958,0.26069583743810654,0.26069583743810654
24,-0.07048295438289642,0.09748661518096924,0.16796956956386566,0.16796956956386566
25,0.1487448811531067,-0.2052919715642929,-0.3540368527173996,0.3540368527173996
26,-0.008100941777229309,0.011394253000617027,0.019495194777846336,0.019495194777846336
27,-0.0919024869799614,0.1265304833650589,0.2184329703450203,0.2184329703450203
28,0.04748677462339401,-0.06581030786037445,-0.11329708248376846,0.11329708248376846
29,-0.09014037251472473,0.12324411422014236,0.2133844867348671,0.2133844867348671
30,-0.14733442664146423,0.20303960144519806,0.3503740280866623,0.3503740280866623
31,-0.10118545591831207,0.14000679552555084,0.24119225144386292,0.24119225144386292
32,0.0018058804562315345,-0.0016387102659791708,-0.0034445907222107053,0.0034445907222107053
33,0.019714226946234703,-0.026452651247382164,-0.04616687819361687,0.04616687819361687
34,-0.03413781523704529,0.046990469098091125,0.08112828433513641,0.08112828433513641
35,0.11494635790586472,-0.1577664315700531,-0.2727127894759178,0.2727127894759178
36,0.13644109666347504,-0.18778952956199646,-0.3242306262254715,0.3242306262254715
37,-0.11316325515508652,0.15642398595809937,0.2695872411131859,0.2695872411131859
38,-0.14050647616386414,0.1939174234867096,0.33442389965057373,0.33442389965057373
39,0.005587857216596603,-0.006989241577684879,-0.012577098794281483,0.012577098794281483
40,0.012274259701371193,-0.016265790909528732,-0.028540050610899925,0.028540050610899925
41,0.04009906202554703,-0.05444131791591644,-0.09454037994146347,0.09454037994146347
42,-0.07688534259796143,0.1064576804637909,0.18334302306175232,0.18334302306175232
43,0.3837742209434509,-0.5273812413215637,-0.9111554622650146,0.9111554622650146
44,0.6964594125747681,-0.9561501145362854,-1.6526095271110535,1.6526095271110535
45,0.301212877035141,-0.4141346514225006,-0.7153475284576416,0.7153475284576416
46,0.41383814811706543,-0.5687738656997681,-0.9826120138168335,0.9826120138168335
