agent_dir,agent_name,best_seed,survival_rate,inadmissibility_rate,avg_return,expert_argmax_match
bc,Behavior Cloning,seed_42,0.73314368724823,0.0,0.73314368724823,1.0
cql,Conservative Q-Learning,seed_42,0.738547146320343,0.0035423015238930213,0.738547146320343,0.9826765060424805
voac,Vanilla Offline Actor-Critic,seed_44,0.7337906956672668,0.053121682008682454,0.7337906956672668,0.875703752040863
laadan_ac,LAADAN-AC,seed_45,0.749304473400116,0.0,0.749304473400116,0.9852750301361084
