epoch,loss,td_loss,cql_loss,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert
1,1.6822996139526367,0.0741623267531395,3.2162744998931885,,,,,,,,,
2,1.6553887128829956,0.06878926604986191,3.173198938369751,,,,,,,,,
3,1.630190134048462,0.064461849629879,3.1314566135406494,,,,,,,,,
4,1.6043399572372437,0.06099700182676315,3.0866858959198,,,,,,,,,
5,1.579984188079834,0.05862579122185707,3.0427167415618896,,,,,,,,,
6,1.5553221702575684,0.05716592073440552,2.9963126182556152,,,,,,,,,
7,1.5315699577331543,0.05739409849047661,2.9483516216278076,,,,,,,,,
8,1.5083943605422974,0.05896904692053795,2.898850679397583,,,,,,,,,
9,1.4858622550964355,0.06290210783481598,2.8459203243255615,,,,,,,,,
10,1.4641591310501099,0.06920159608125687,2.789915084838867,,,,,,,,,
11,1.4436849355697632,0.0781511589884758,2.731067657470703,,,,,,,,,
12,1.4270045757293701,0.08914349228143692,2.675722122192383,,,,,,,,,
13,1.412285327911377,0.10391491651535034,2.6167407035827637,,,,,,,,,
14,1.4001848697662354,0.12170964479446411,2.556950569152832,,,,,,,,,
15,1.3886692523956299,0.13952142000198364,2.498295783996582,,,,,,,,,
16,1.3816120624542236,0.15878893435001373,2.445646286010742,,,,,,,,,
17,1.3751006126403809,0.176448255777359,2.3973047733306885,,,,,,,,,
18,1.3676490783691406,0.18856289982795715,2.3581724166870117,,,,,,,,,
19,1.360259771347046,0.19739218056201935,2.325735092163086,,,,,,,,,
20,1.3555654287338257,0.2036678045988083,2.303795337677002,,,,,,,,,
21,1.3456374406814575,0.20685522258281708,2.277564525604248,,,,,,,,,
22,1.3391531705856323,0.20273661613464355,2.2728331089019775,,,,,,,,,
23,1.3311210870742798,0.1983579695224762,2.265526294708252,,,,,,,,,
24,1.3215203285217285,0.19458703696727753,2.253866672515869,,,,,,,,,
25,1.3147050142288208,0.18872331082820892,2.2519633769989014,,,,,,,,,
26,1.3062318563461304,0.1806919425725937,2.251079797744751,,,,,,,,,
27,1.3012086153030396,0.17700597643852234,2.2484052181243896,,,,,,,,,
