variant,best_seed,survival_rate,inadmissibility_rate,soft_inadmissibility_rate,avg_return,soft_avg_return,expert_argmax_match,mean_kl_to_expert,policy_entropy,soft_policy_entropy,cost_budget,lagrange,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,uses_action_mask,use_certified_nudging,barrier_weight,support_weight,rho_cost
full_rc,45,0.7888521552085876,0.0,2.098050068366349e-18,0.7888521552085876,0.7856481075286865,0.9179800152778625,3.992866039276123,-0.0,0.051831137388944626,0.0001,0.0,0.0,0.025080092132091517,0.0,0.0,False,True,25.0,1.0,1.0
no_lambda_updates,42,0.7877354621887207,0.0,9.104430694227077e-18,0.7877354621887207,0.7847264409065247,0.9207668304443359,3.9954285621643066,-0.0,0.045059967786073685,0.0001,0.0,0.0,0.0,0.0,0.0,False,True,25.0,1.0,1.0
no_barrier,45,0.7884432077407837,0.0,5.328142132721716e-08,0.7884432077407837,0.7856500744819641,0.9199500679969788,3.990463972091675,-0.0,0.05145126208662987,0.0001,0.0,0.0,0.025081911563873294,0.0,0.0,False,True,0.0,1.0,1.0
no_certified_nudging,45,0.7874858975410461,0.0,1.3526206362381488e-18,0.7874858975410461,0.7860182523727417,0.9394099712371826,3.960355281829834,-0.0,0.06238986551761627,0.0001,0.0,0.0,0.021146668314933774,0.0,0.0,False,False,25.0,1.0,1.0
no_support_lambda,46,0.7876945734024048,0.0,2.3080991427154745e-15,0.7876945734024048,0.7855592370033264,0.9468095302581787,3.9526619911193848,-0.0,0.043377604335546494,0.0001,0.0,0.0,0.0,0.0,0.0,False,True,25.0,1.0,1.0
no_cost_ucb,46,0.7874318361282349,0.0,9.323565583789658e-16,0.7874318361282349,0.7855579257011414,0.9442148208618164,3.9544601440429688,-0.0,0.040159739553928375,0.0001,0.0,0.0,0.03696210753917695,0.0,0.0,False,True,25.0,1.0,0.0
lambda_only_no_mask,42,0.7781670689582825,0.0012992256448287511,0.0013172711614969556,0.7781670689582825,0.7782610654830933,0.8759850263595581,4.078955173492432,-0.0,0.038495954126119614,0.0001,0.18933958467134923,0.18933958467134923,0.0,0.0,0.0,False,False,0.0,0.0,1.0
