epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,cost_budget,lagrange,expert_kl,smoothness,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert,trajectory_mean_action_jump,trajectory_normalised_action_jump
1,0.9812136888504028,0.04590652883052826,0.018783506006002426,0.014777975156903267,0.006822714116424322,0.9426866173744202,0.9389724135398865,0.0,0.048666149377822876,0.0,0.0,0.06118224561214447,0.0,,,,,,,,,,,,,,,,
2,0.9660279154777527,0.02506863884627819,0.011800311505794525,0.010816462337970734,0.004819426219910383,0.9394775032997131,0.937705934047699,0.0,0.038711294531822205,0.0,0.0,0.061401546001434326,0.0,,,,,,,,,,,,,,,,
3,0.9583147764205933,0.0101011386141181,0.008634309284389019,0.008990533649921417,0.0038277781568467617,0.9369838833808899,0.9367404580116272,0.0,0.03221181780099869,0.0,0.0,0.061719466000795364,0.0,,,,,,,,,,,,,,,,
4,0.9540858268737793,0.0015624582301825285,0.0075485180132091045,0.007715821266174316,0.003052861662581563,0.9355486631393433,0.9359886050224304,0.0,0.028356453403830528,0.0,0.0,0.06195522099733353,0.0,,,,,,,,,,,,,,,,
5,0.9521021246910095,-0.005994475446641445,0.0071850670501589775,0.007348754443228245,0.002671146299690008,0.9346722364425659,0.9351221323013306,0.0,0.028079170733690262,0.0,0.0,0.062213681638240814,0.0,,,,,,,,,,,,,,,,
6,0.950126051902771,-0.009314307011663914,0.006941461935639381,0.006553759798407555,0.002558335429057479,0.9335718750953674,0.9345731735229492,0.0,0.029485207051038742,0.0,0.0,0.062457386404275894,0.0,,,,,,,,,,,,,,,,
7,0.9486682415008545,-0.014201251789927483,0.006661429535597563,0.006016766186803579,0.002424329984933138,0.9332587718963623,0.933872640132904,0.0,0.03059706836938858,0.0,0.0,0.0627443939447403,0.0,,,,,,,,,,,,,,,,
8,0.947139322757721,-0.01582258939743042,0.0061261216178536415,0.005603688303381205,0.002489193808287382,0.9326006174087524,0.9332401156425476,0.0,0.03219721093773842,0.0,0.0,0.06382285803556442,0.0,,,,,,,,,,,,,,,,
9,0.9458754062652588,-0.016745824366807938,0.005510698072612286,0.005334675312042236,0.002407000632956624,0.9322783946990967,0.9329676628112793,0.0,0.033981844782829285,0.0,0.0,0.06433656066656113,0.0,,,,,,,,,,,,,,,,
10,0.9445784687995911,-0.01629413664340973,0.005138174630701542,0.005023079924285412,0.0024084735196083784,0.9317991733551025,0.9322183728218079,0.0,0.03499620780348778,0.0,0.0,0.06510806828737259,0.0,,,,,,,,,,,,,,,,
11,0.9435529112815857,-0.017422769218683243,0.0046615866012871265,0.004886773880571127,0.002350375521928072,0.9314694404602051,0.931838870048523,0.0,0.03585124760866165,0.0,0.0,0.06650592386722565,0.0,,,,,,,,,,,,,,,,
