epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,cost_budget,lagrange,expert_kl,smoothness,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.159098148345947,0.10143812745809555,0.032862339168787,0.02921576425433159,0.867462158203125,3.237417221069336,3.221698760986328,0.8817191123962402,0.06280835717916489,0.0,0.00017634382247924807,2.452817678451538,0.3554686903953552,,,,,,,,,,,,,,
2,4.088057994842529,0.10964638739824295,0.03312677890062332,0.029375392943620682,0.8409698605537415,3.192129135131836,3.1770427227020264,0.8809868693351746,0.08199305832386017,0.0,0.000352541196346283,2.440500497817993,0.35552334785461426,,,,,,,,,,,,,,
3,4.015443325042725,0.11850391328334808,0.03543331101536751,0.03183860704302788,0.8097506761550903,3.1458773612976074,3.1309635639190674,0.8798103332519531,0.10497884452342987,0.0,0.0005285032629966736,2.422231674194336,0.35554182529449463,,,,,,,,,,,,,,
4,3.944540500640869,0.12922394275665283,0.03912590816617012,0.036254510283470154,0.7738770246505737,3.104419469833374,3.086146831512451,0.8784260153770447,0.13146407902240753,0.0,0.0007041884660720825,2.4035391807556152,0.35552269220352173,,,,,,,,,,,,,,
5,3.8707714080810547,0.1396755874156952,0.04439478740096092,0.042647309601306915,0.7347995638847351,3.0582473278045654,3.03961181640625,0.8767279386520386,0.16197097301483154,0.0,0.0008795340538024902,2.3835816383361816,0.3557054102420807,,,,,,,,,,,,,,
6,3.794282913208008,0.14956410229206085,0.05153299868106842,0.05178043618798256,0.6918941140174866,3.011730194091797,2.9864203929901123,0.8747840523719788,0.1964264065027237,0.0,0.001054490864276886,2.361783027648926,0.35565945506095886,,,,,,,,,,,,,,
7,3.7226083278656006,0.15782278776168823,0.05971404165029526,0.06288263201713562,0.647850513458252,2.968174457550049,2.936147689819336,0.8729407787322998,0.235075443983078,0.0,0.001229079020023346,2.340134859085083,0.3557650148868561,,,,,,,,,,,,,,
8,3.646064519882202,0.16519613564014435,0.07005029916763306,0.07701199501752853,0.5986358523368835,2.9208645820617676,2.8798677921295166,0.8705328702926636,0.2795000374317169,0.0,0.0014031855940818787,2.3162710666656494,0.3558388948440552,,,,,,,,,,,,,,
9,3.5702009201049805,0.17124833166599274,0.0816945731639862,0.09367314726114273,0.5481014251708984,2.8701202869415283,2.823343276977539,0.8682666420936584,0.32911309599876404,0.0,0.0015768389225006103,2.291511297225952,0.35582658648490906,,,,,,,,,,,,,,
10,3.493927478790283,0.17096397280693054,0.09427573531866074,0.11295468360185623,0.49530094861984253,2.8186545372009277,2.7641379833221436,0.8653905987739563,0.3813633322715759,0.0,0.0017499170422554016,2.2629642486572266,0.35579225420951843,0.7794474959373474,0.7794474959373474,0.2205525040626526,9.51073932647705,0.74577836386475,0.23303864896297455,13.512567520141602,-0.0,7.554605007171631,0.7756864428520203,0.8522108031842935,0.7756864428520203,3.2038216590881348,2.5167839527130127
11,3.422187089920044,0.16823121905326843,0.10704665631055832,0.13276149332523346,0.44366616010665894,2.767860174179077,2.7095651626586914,0.8627834916114807,0.4391229450702667,0.0,0.0019224737405776978,2.239377498626709,0.3559074103832245,,,,,,,,,,,,,,
12,3.3550190925598145,0.15986260771751404,0.12069860100746155,0.15366123616695404,0.3935346305370331,2.717862367630005,2.6563870906829834,0.8595549464225769,0.5022501945495605,0.0,0.002094384729862213,2.2106616497039795,0.3561175465583801,,,,,,,,,,,,,,
13,3.2900803089141846,0.14626827836036682,0.1328376829624176,0.17432072758674622,0.34550079703330994,2.6701762676239014,2.604665756225586,0.8560801148414612,0.5689400434494019,0.0,0.0022656007528305054,2.1789774894714355,0.35607266426086426,,,,,,,,,,,,,,
14,3.230761766433716,0.12577365338802338,0.14626364409923553,0.1930832415819168,0.3017256259918213,2.6224098205566406,2.556968927383423,0.8522008061408997,0.6321757435798645,0.0,0.0024360409140586855,2.1482362747192383,0.3562362492084503,,,,,,,,,,,,,,
15,3.1750781536102295,0.10051852464675903,0.15618129074573517,0.2090175300836563,0.2639760971069336,2.576910972595215,2.51489520072937,0.8482890129089355,0.6934545040130615,0.0,0.0026056987166404727,2.1163952350616455,0.35639265179634094,,,,,,,,,,,,,,
