epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,cost_budget,lagrange,expert_kl,smoothness,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert,trajectory_mean_action_jump,trajectory_normalised_action_jump
1,0.042995989322662354,0.10416288673877716,0.022998018190264702,0.0199979729950428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2,0.02888944000005722,0.08197021484375,0.01536591723561287,0.013523522764444351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
3,0.02012200839817524,0.0682959109544754,0.010374162346124649,0.00974784605205059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
4,0.016191013157367706,0.06805641204118729,0.008169544860720634,0.008021467365324497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
5,0.01505080983042717,0.06655103713274002,0.0075370995327830315,0.007513710297644138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
6,0.014935370534658432,0.06405553966760635,0.007351624313741922,0.007583745755255222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
7,0.014863792806863785,0.06052680313587189,0.0074247270822525024,0.007439065258949995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
8,0.014130644500255585,0.054470498114824295,0.007063409313559532,0.00706723565235734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
9,0.012806647457182407,0.04724479094147682,0.006482971832156181,0.006323675625026226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
10,0.011708245612680912,0.04221339523792267,0.005987892858684063,0.005720352753996849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
11,0.010075056925415993,0.037542156875133514,0.005047271028161049,0.0050277854315936565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
12,0.00910889357328415,0.035188719630241394,0.004553079605102539,0.004555813502520323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
13,0.008269152604043484,0.03440616652369499,0.0041298517026007175,0.004139300901442766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
14,0.007678826339542866,0.03249051794409752,0.0038071651943027973,0.003871661378070712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
15,0.007511517032980919,0.0320933572947979,0.0037696922663599253,0.0037418249994516373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
16,0.00711547676473856,0.03172050788998604,0.0035907335113734007,0.003524743253365159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
17,0.007073583081364632,0.030271874740719795,0.0035605577286332846,0.003513025352731347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
18,0.006881913170218468,0.03030760958790779,0.0035146225709468126,0.003367290599271655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
19,0.006856488063931465,0.027652647346258163,0.0034935271833091974,0.0033629608806222677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
20,0.006548881530761719,0.026633160188794136,0.003333194414153695,0.0032156871166080236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
21,0.0062937005423009396,0.024087047204375267,0.0031824768520891666,0.003111223690211773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
22,0.006007619667798281,0.022658752277493477,0.003031955100595951,0.0029756645672023296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
23,0.0057312799617648125,0.020496277138590813,0.002873485442250967,0.0028577945195138454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
24,0.005498403683304787,0.01885347254574299,0.002757477108389139,0.002740926807746291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
25,0.0051756976172327995,0.015185616910457611,0.002572945784777403,0.002602751599624753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
26,0.004922124557197094,0.014338593930006027,0.0024061345029622316,0.0025159898214042187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
27,0.004896325990557671,0.011973543092608452,0.0024536466225981712,0.0024426793679594994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
28,0.0045382799580693245,0.011247691698372364,0.0023288351949304342,0.0022094445303082466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
29,0.004318687133491039,0.010184464044868946,0.002149306470528245,0.002169380895793438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
30,0.004257487133145332,0.007008479908108711,0.0021206496749073267,0.0021368376910686493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
