epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,expected_cost,lagrange,expert_kl,smoothness,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,0.9818732142448425,0.045767538249492645,0.019120002165436745,0.017125867307186127,0.0037805414758622646,0.024208150804042816,4.841630160808564e-06,0.06210169196128845,0.13010579347610474,,,,,,,,,,,,,,
2,0.9655612707138062,0.026529109105467796,0.012743128463625908,0.011266199871897697,0.002496136585250497,0.017963191494345665,8.434268459677697e-06,0.06184753403067589,0.12884145975112915,,,,,,,,,,,,,,
3,0.9570225477218628,0.01144416630268097,0.009757759980857372,0.008278791792690754,0.001731589320115745,0.013929684646427631,1.1220205388963223e-05,0.06206516548991203,0.12785211205482483,,,,,,,,,,,,,,
4,0.9527518153190613,0.0003594922600314021,0.008290126919746399,0.006945979781448841,0.001331072999164462,0.011349600739777088,1.349012553691864e-05,0.06240839138627052,0.1269921362400055,,,,,,,,,,,,,,
5,0.9506446123123169,-0.008771424181759357,0.007841790094971657,0.006635782774537802,0.0011584246531128883,0.008235056884586811,1.5137136913836003e-05,0.062318574637174606,0.12661415338516235,,,,,,,,,,,,,,
6,0.9493781328201294,-0.014354406856000423,0.007580402307212353,0.006583289243280888,0.0011054923525080085,0.006589035037904978,1.6454943921416997e-05,0.06174135208129883,0.12616536021232605,,,,,,,,,,,,,,
7,0.9484626650810242,-0.02103463187813759,0.007313000503927469,0.0065389154478907585,0.0010534978937357664,0.0056969583965837955,1.7594335600733755e-05,0.06191008538007736,0.12606455385684967,,,,,,,,,,,,,,
8,0.9469048380851746,-0.022762039676308632,0.0067307474091649055,0.006245378404855728,0.0010553494794294238,0.00496301706880331,1.8586939014494418e-05,0.06147848442196846,0.12618137896060944,,,,,,,,,,,,,,
9,0.9452609419822693,-0.02555757388472557,0.006155812181532383,0.006031009368598461,0.0010433436837047338,0.005015946459025145,1.9590128306299447e-05,0.061436668038368225,0.1262686848640442,,,,,,,,,,,,,,
10,0.9440521001815796,-0.02571825683116913,0.0056548104621469975,0.005514699965715408,0.0010131136514246464,0.004848789889365435,2.0559886284172535e-05,0.06107291206717491,0.126595139503479,0.7678868174552917,0.7678868174552917,0.23211318254470825,9.212071418762207,0.0,0.7303959131240845,4.60067892074585,-0.0,1.1242635250091553,0.7761961817741394,0.0,0.7761961817741394,0.5451746582984924,0.03665509819984436
11,0.9425691962242126,-0.0249851793050766,0.005124288611114025,0.005085886921733618,0.000981277204118669,0.0051247067749500275,2.1584827639162542e-05,0.061501678079366684,0.12676288187503815,,,,,,,,,,,,,,
12,0.9418565034866333,-0.023328417912125587,0.005014173686504364,0.00474549038335681,0.0009569324902258813,0.005412575323134661,2.2667342703789475e-05,0.062078773975372314,0.12709371745586395,,,,,,,,,,,,,,
13,0.9407813549041748,-0.023524334654211998,0.004503791686147451,0.0045638857409358025,0.0009154902072623372,0.005928516387939453,2.3853045981377367e-05,0.062382083386182785,0.12737435102462769,,,,,,,,,,,,,,
14,0.9401317238807678,-0.02113276906311512,0.004415707662701607,0.004478779621422291,0.0008758815238252282,0.006564738694578409,2.5165993720293047e-05,0.06327523291110992,0.12771369516849518,,,,,,,,,,,,,,
15,0.939674973487854,-0.022929949685931206,0.0044377949088811874,0.00433894619345665,0.0008583564776927233,0.006460939534008503,2.645818162709475e-05,0.0639931783080101,0.1280032843351364,,,,,,,,,,,,,,
16,0.9390557408332825,-0.022151928395032883,0.004293419420719147,0.004207149147987366,0.0008069680188782513,0.0074865547940135,2.7955492585897448e-05,0.06584938615560532,0.12831442058086395,,,,,,,,,,,,,,
17,0.9387199878692627,-0.025707628577947617,0.004316901322454214,0.004035051912069321,0.0007770286756567657,0.007414231076836586,2.9438338801264765e-05,0.06723778694868088,0.12851692736148834,,,,,,,,,,,,,,
18,0.9387041926383972,-0.026119209825992584,0.004444342106580734,0.004129569511860609,0.0007607054430991411,0.007966053672134876,3.103154953569174e-05,0.06987356394529343,0.12885400652885437,,,,,,,,,,,,,,
19,0.9381532073020935,-0.027954597026109695,0.004358778242021799,0.004003389738500118,0.0007341037853620946,0.008326781913638115,3.269690591841936e-05,0.07188653200864792,0.1290477216243744,,,,,,,,,,,,,,
20,0.9375112652778625,-0.030527226626873016,0.004247906617820263,0.003968669101595879,0.0007205956499092281,0.007700689602643251,3.423704383894801e-05,0.07485945522785187,0.12924939393997192,0.7862969040870667,0.7862969040870667,0.21370309591293335,7.036256790161133,0.0,0.7614837288856506,4.5757737159729,-0.0,2.567915916442871,0.7773305773735046,0.0,0.7773305773735046,0.5278061628341675,0.04581563174724579
21,0.9370924234390259,-0.03364584594964981,0.004209334496408701,0.0040133981965482235,0.0006830439670011401,0.008087326772511005,3.5854509193450214e-05,0.07840388268232346,0.12948119640350342,,,,,,,,,,,,,,
22,0.9370946288108826,-0.03733837231993675,0.004092484246939421,0.004064615350216627,0.0006714888731949031,0.007528373505920172,3.736018389463425e-05,0.08290931582450867,0.1298990398645401,,,,,,,,,,,,,,
23,0.9364487528800964,-0.038214534521102905,0.00407621031627059,0.003955014981329441,0.0006212847074493766,0.00733238086104393,3.882666006684304e-05,0.0870504230260849,0.13017483055591583,,,,,,,,,,,,,,
24,0.9359996318817139,-0.042600683867931366,0.0038862505462020636,0.003819705918431282,0.0006110548856668174,0.007245638873428106,4.027578784152866e-05,0.09296731650829315,0.13067160546779633,,,,,,,,,,,,,,
25,0.9360118508338928,-0.04479179531335831,0.003989545628428459,0.003950151149183512,0.0005802615778520703,0.006558252964168787,4.158743843436242e-05,0.09944090992212296,0.13125033676624298,,,,,,,,,,,,,,
26,0.9354971647262573,-0.04673399403691292,0.003852164838463068,0.0037583208177238703,0.0005364688695408404,0.006728708744049072,4.293318018317223e-05,0.10764434188604355,0.13195708394050598,,,,,,,,,,,,,,
27,0.9352869987487793,-0.04919145628809929,0.003862382611259818,0.003869804320856929,0.0005331524880602956,0.005809090565890074,4.409499829635025e-05,0.11620663106441498,0.1327415108680725,,,,,,,,,,,,,,
28,0.9349856972694397,-0.05098594352602959,0.003658861154690385,0.0036675571464002132,0.0005209125229157507,0.006106910761445761,4.53163804486394e-05,0.1254100650548935,0.13369108736515045,,,,,,,,,,,,,,
29,0.9349361658096313,-0.052823688834905624,0.003747813403606415,0.0038246240001171827,0.0004897778271697462,0.005373687483370304,4.639111794531346e-05,0.13531935214996338,0.13468791544437408,,,,,,,,,,,,,,
30,0.934662401676178,-0.05521128326654434,0.0036633422132581472,0.0036910795606672764,0.00047103018732741475,0.005370019469410181,4.746512183919549e-05,0.1478835940361023,0.1357770413160324,0.7852861881256104,0.7852861881256104,0.21471381187438965,7.0542755126953125,0.0,0.7592254877090454,4.6042280197143555,-0.0,2.6055259704589844,0.7788354158401489,0.0,0.7788354158401489,0.4701248109340668,0.09450496733188629
31,0.9343925714492798,-0.05537568777799606,0.00362213677726686,0.0037384899333119392,0.000445644574938342,0.0054364753887057304,4.8552416916936635e-05,0.1621328592300415,0.13704636693000793,,,,,,,,,,,,,,
32,0.9344598054885864,-0.058201953768730164,0.0036764584947377443,0.003694806480780244,0.0004295779799576849,0.004818549379706383,4.951612679287791e-05,0.17819176614284515,0.13844358921051025,,,,,,,,,,,,,,
