model,state_id,action,admissible,q_value
Behavior Cloning,283,7,0,-4.785480499267578
Behavior Cloning,283,8,0,-4.0010247230529785
Behavior Cloning,283,9,0,-7.722990036010742
Behavior Cloning,283,10,1,8.26574420928955
Behavior Cloning,283,11,0,-5.376418113708496
Behavior Cloning,283,12,0,-6.62572717666626
Behavior Cloning,283,13,0,-7.9377970695495605
Behavior Cloning,283,14,0,-10.800353050231934
Behavior Cloning,283,15,1,7.344096660614014
Behavior Cloning,283,16,0,-3.523076057434082
Behavior Cloning,283,17,0,-1.468448281288147
Behavior Cloning,283,18,0,-8.256494522094727
Behavior Cloning,283,19,0,-6.895207405090332
Behavior Cloning,283,20,1,7.065500259399414
Behavior Cloning,283,21,0,-3.291249990463257
Behavior Cloning,283,22,0,-0.8889734745025635
Behavior Cloning,283,23,0,-7.118113994598389
Behavior Cloning,283,24,0,-2.1621668338775635
Behavior Cloning,557,0,1,18.042072296142578
Behavior Cloning,557,1,0,4.072953701019287
Behavior Cloning,557,2,0,5.842036247253418
Behavior Cloning,557,3,0,-0.6119130849838257
Behavior Cloning,557,4,0,1.0202345848083496
Behavior Cloning,557,5,0,5.869255542755127
Behavior Cloning,557,6,0,-4.357594013214111
Behavior Cloning,557,7,0,-9.28959846496582
Behavior Cloning,557,8,0,-1.6902648210525513
Behavior Cloning,557,9,0,-5.768525123596191
Behavior Cloning,557,10,0,0.7798044681549072
Behavior Cloning,557,11,0,-3.7512011528015137
Behavior Cloning,557,12,0,-4.940639495849609
Behavior Cloning,557,13,0,-5.980433940887451
Behavior Cloning,557,14,0,-9.34666919708252
Behavior Cloning,557,15,0,-2.025578737258911
Behavior Cloning,557,16,0,-4.348535060882568
Behavior Cloning,557,17,0,-10.334409713745117
Behavior Cloning,557,18,0,-16.400218963623047
Behavior Cloning,557,19,0,-4.35414981842041
Behavior Cloning,557,20,0,-2.417750835418701
Behavior Cloning,557,21,0,-21.52110481262207
Behavior Cloning,557,22,0,-18.42667579650879
Behavior Cloning,557,23,0,-28.903160095214844
Behavior Cloning,557,24,0,-9.588500022888184
Behavior Cloning,559,0,1,21.280004501342773
Behavior Cloning,559,1,0,4.602145195007324
Behavior Cloning,559,2,0,3.9927849769592285
Behavior Cloning,559,3,0,0.9034243822097778
Behavior Cloning,559,4,0,3.7014358043670654
Behavior Cloning,559,5,0,5.356776714324951
Behavior Cloning,559,6,0,-7.44501256942749
Behavior Cloning,559,7,0,-7.852512359619141
Behavior Cloning,559,8,0,-3.9924979209899902
Behavior Cloning,559,9,0,-4.810585021972656
Behavior Cloning,559,10,0,1.6058558225631714
Behavior Cloning,559,11,0,-3.3691930770874023
Behavior Cloning,559,12,0,-4.169767379760742
Behavior Cloning,559,13,0,-7.030600070953369
Behavior Cloning,559,14,0,-9.401768684387207
Behavior Cloning,559,15,0,-0.9457758665084839
Behavior Cloning,559,16,0,-2.319350481033325
Behavior Cloning,559,17,0,-14.451064109802246
Behavior Cloning,559,18,0,-17.987899780273438
Behavior Cloning,559,19,0,-4.903989315032959
Behavior Cloning,559,20,0,-3.003211259841919
Behavior Cloning,559,21,0,-23.319698333740234
Behavior Cloning,559,22,0,-22.055097579956055
Behavior Cloning,559,23,0,-28.797101974487305
Behavior Cloning,559,24,0,-10.796539306640625
Conservative Q-Learning,357,0,1,7.446835517883301
Conservative Q-Learning,357,1,0,4.461913108825684
Conservative Q-Learning,357,2,0,4.447940826416016
Conservative Q-Learning,357,3,0,4.454593181610107
Conservative Q-Learning,357,4,0,4.473357677459717
Conservative Q-Learning,357,5,0,4.512067794799805
Conservative Q-Learning,357,6,0,4.460577487945557
Conservative Q-Learning,357,7,0,4.40933895111084
Conservative Q-Learning,357,8,0,4.431923866271973
Conservative Q-Learning,357,9,0,4.456170082092285
Conservative Q-Learning,357,10,0,4.411060333251953
Conservative Q-Learning,357,11,0,4.48151159286499
Conservative Q-Learning,357,12,0,4.468292236328125
Conservative Q-Learning,357,13,0,4.414331436157227
Conservative Q-Learning,357,14,0,4.431792736053467
Conservative Q-Learning,357,15,0,4.4824652671813965
Conservative Q-Learning,357,16,0,4.448598861694336
Conservative Q-Learning,357,17,0,4.487541198730469
Conservative Q-Learning,357,18,0,4.430300235748291
Conservative Q-Learning,357,19,0,4.434154510498047
Conservative Q-Learning,357,20,0,4.58241605758667
Conservative Q-Learning,357,21,0,4.4258928298950195
Conservative Q-Learning,357,22,0,4.424029350280762
Conservative Q-Learning,357,23,0,4.385588645935059
Conservative Q-Learning,357,24,0,4.3078765869140625
Conservative Q-Learning,287,0,1,7.066571235656738
Conservative Q-Learning,287,1,0,3.6618568897247314
Conservative Q-Learning,287,2,0,3.6898741722106934
Conservative Q-Learning,287,3,0,3.695855140686035
Conservative Q-Learning,287,4,0,3.658078670501709
Conservative Q-Learning,287,5,0,3.635164260864258
Conservative Q-Learning,287,6,0,3.6458687782287598
Conservative Q-Learning,287,7,0,3.659536123275757
Conservative Q-Learning,287,8,0,3.638253688812256
Conservative Q-Learning,287,9,0,3.687100887298584
Conservative Q-Learning,287,10,0,3.614201068878174
Conservative Q-Learning,287,11,0,3.67838716506958
Conservative Q-Learning,287,12,0,3.684515953063965
Conservative Q-Learning,287,13,0,3.6503796577453613
Conservative Q-Learning,287,14,0,3.6485800743103027
Conservative Q-Learning,287,15,0,3.664449691772461
Conservative Q-Learning,287,16,0,3.679456949234009
Conservative Q-Learning,287,17,0,3.686737537384033
Conservative Q-Learning,287,18,0,3.6938984394073486
Conservative Q-Learning,287,19,0,3.643449544906616
Conservative Q-Learning,287,20,0,3.611492395401001
Conservative Q-Learning,287,21,0,3.67669939994812
Conservative Q-Learning,287,22,0,3.6587600708007812
Conservative Q-Learning,287,23,0,3.69195294380188
Conservative Q-Learning,287,24,0,3.6335790157318115
Conservative Q-Learning,554,0,1,8.71678352355957
Conservative Q-Learning,554,1,0,5.792868137359619
Conservative Q-Learning,554,2,0,5.682432651519775
Conservative Q-Learning,554,3,0,5.739712715148926
Conservative Q-Learning,554,4,0,5.703890800476074
Conservative Q-Learning,554,5,0,5.597341537475586
Conservative Q-Learning,554,6,0,5.712480545043945
Conservative Q-Learning,554,7,0,5.741262435913086
Conservative Q-Learning,554,8,0,5.753232002258301
Conservative Q-Learning,554,9,0,5.753716945648193
Conservative Q-Learning,554,10,0,5.619648456573486
Conservative Q-Learning,554,11,0,5.749414920806885
Conservative Q-Learning,554,12,0,5.714947700500488
Conservative Q-Learning,554,13,0,5.758312702178955
Conservative Q-Learning,554,14,0,5.728611469268799
Conservative Q-Learning,554,15,0,5.640380859375
Conservative Q-Learning,554,16,0,5.73219108581543
Conservative Q-Learning,554,17,0,5.684738636016846
Conservative Q-Learning,554,18,0,5.753486156463623
Conservative Q-Learning,554,19,0,5.709353446960449
Conservative Q-Learning,554,20,0,5.664444446563721
Conservative Q-Learning,554,21,0,5.709048748016357
Conservative Q-Learning,554,22,0,5.652996063232422
Conservative Q-Learning,554,23,0,5.746582508087158
Conservative Q-Learning,554,24,0,5.704518795013428
Conservative Q-Learning,285,0,0,3.859865665435791
Conservative Q-Learning,285,1,0,3.90433406829834
Conservative Q-Learning,285,2,0,3.9209203720092773
Conservative Q-Learning,285,3,0,3.9067182540893555
Conservative Q-Learning,285,4,0,3.9151062965393066
Conservative Q-Learning,285,5,0,4.146512985229492
Conservative Q-Learning,285,6,0,3.916638135910034
Conservative Q-Learning,285,7,0,3.920353889465332
Conservative Q-Learning,285,8,0,3.913668155670166
Conservative Q-Learning,285,9,0,3.928699493408203
Conservative Q-Learning,285,10,1,4.743048667907715
Conservative Q-Learning,285,11,0,3.9265263080596924
